term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-4.54468083226639,1.52659739946233,-7.53675675410506,-1.55260491042771
factor(Year)2004,-3.9171498149206,1.54647529884608,-6.94818570363973,-0.886113926201473
factor(Year)2005,-5.30486797771391,1.52729438246579,-8.2983099611372,-2.31142599429062
factor(Year)2006,-5.24861330827519,1.53188068179025,-8.25104427319675,-2.24618234335363
factor(Year)2007,-4.52528476419232,1.5078430614923,-7.48060285905585,-1.56996666932879
factor(Year)2008,-4.27055205402857,1.5027949700465,-7.21597607146765,-1.32512803658949
factor(Year)2009,-3.86061516877951,1.46873125606888,-6.7392755336428,-0.981954803916224
factor(Year)2010,-3.86002227999534,1.48441148568543,-6.76941533017637,-0.950629229814301
factor(Year)2011,-4.85612149037305,1.50597650467481,-7.80778120109919,-1.9044617796469
factor(Year)2012,-5.07720034473285,1.49649208339434,-8.01027093133507,-2.14412975813062
factor(Year)2013,-3.93070951530527,1.50705315270975,-6.88447941740392,-0.976939613206624
factor(Year)2014,-3.87879250164232,1.45238249002196,-6.72540987386197,-1.03217512942267
factor(Year)2015,-4.07556573508462,1.48777831393905,-6.99155764738488,-1.15957382278435
factor(Year)2016,-3.96621929768123,1.48803603671709,-6.88271633734445,-1.04972225801801
factor(Year)2017,-3.13456245403704,1.46241530779467,-6.00084378775466,-0.268281120319423
factor(Year)2018,-5.14154467342014,1.51476859464284,-8.11043656383245,-2.17265278300783
factor(Year)2019,-3.72896852650461,1.59727600337779,-6.85957196649515,-0.598365086514061
factor(Year)2021,-5.49724677889606,1.51159247629238,-8.45991359173084,-2.53457996606128
factor(Year)2022,-4.17760068208269,1.51643951687914,-7.14976751989912,-1.20543384426627
factor(Year)2023,-4.07074800140063,1.48768586139071,-6.98655871003586,-1.1549372927654
factor(Year)2024,-5.02668598928244,1.52441580903386,-8.01448607245229,-2.03888590611259
Pass,-0.285600042748848,0.227669707703934,-0.73182447021932,0.160624384721624
factor(Year)2003,-6.16653477858183,1.51602514486118,-9.13788946216685,-3.19518009499681
factor(Year)2004,-5.93844596831962,1.52800282040447,-8.93327646458802,-2.94361547205123
factor(Year)2005,-5.30130672734738,1.49581185678059,-8.23304409428532,-2.36956936040943
factor(Year)2006,-5.41348783841259,1.51026898040167,-8.3735606469679,-2.45341502985729
factor(Year)2007,-5.81479492078537,1.50665568693939,-8.76778580428903,-2.86180403728172
factor(Year)2008,-5.29364339351978,1.48227996893768,-8.19885874764278,-2.38842803939678
factor(Year)2009,-5.53238900330079,1.4854056822991,-8.44373064303817,-2.6210473635634
factor(Year)2010,-4.39816745009811,1.48786393466605,-7.31432717593962,-1.4820077242566
factor(Year)2011,-5.05756106587177,1.47782625308743,-7.95404729733092,-2.16107483441262
factor(Year)2012,-5.53516769857151,1.49881901895498,-8.47279899506692,-2.59753640207609
factor(Year)2013,-4.99067367919836,1.47452913316982,-7.88069767436626,-2.10064968403046
factor(Year)2014,-5.1953233177791,1.48059491574264,-8.0972360283278,-2.2934106072304
factor(Year)2015,-4.52707978247335,1.46277743329981,-7.39407086913891,-1.66008869580778
factor(Year)2016,-4.33274258909892,1.4903114943936,-7.25369944385645,-1.4117857343414
factor(Year)2017,-5.36114920077727,1.48191399704983,-8.26564726318073,-2.45665113837381
factor(Year)2018,-4.85594107157024,1.49147843614034,-7.77918509012342,-1.93269705301706
factor(Year)2019,-5.79571109110205,1.58171068041733,-8.89580705868236,-2.69561512352175
factor(Year)2021,-6.23884402120803,1.52373264075201,-9.22530511915007,-3.25238292326599
factor(Year)2022,-6.10954580335192,1.51718254626971,-9.08316895201332,-3.13592265469052
factor(Year)2023,-6.38839677232083,1.50740355917752,-9.34285345847627,-3.4339400861654
factor(Year)2024,-5.21540606397985,1.47783019162466,-8.1119000148301,-2.3189121131296
Pass,0.654094278245885,0.227925036919877,0.207369414707964,1.10081914178381
factor(Year)2003,-5.2528069992377,1.8367631561171,-8.85279663335734,-1.65281736511807
factor(Year)2004,-5.20819949116557,1.84583993224667,-8.8259792795949,-1.59041970273623
factor(Year)2005,-5.78581779060784,1.83240837167709,-9.37727220406462,-2.19436337715105
factor(Year)2006,-6.42067554100537,1.83211996783322,-10.0115646933152,-2.82978638869556
factor(Year)2007,-5.24429967534031,1.81454215137529,-8.8007369404657,-1.68786241021493
factor(Year)2008,-5.85282730112574,1.83071159861831,-9.44095610049737,-2.26469850175411
factor(Year)2009,-4.84615486601355,1.82709896314774,-8.42720302997358,-1.26510670205351
factor(Year)2010,-5.58910430975875,1.8277914051777,-9.17150963515889,-2.0066989843586
factor(Year)2011,-4.51229410969629,1.80661583462476,-8.05319607946059,-0.971392139931997
factor(Year)2012,-6.04335570714449,1.82271633703479,-9.61581408176545,-2.47089733252354
factor(Year)2013,-5.01541793833893,1.80291685981547,-8.54907005069729,-1.48176582598056
factor(Year)2014,-5.40397711540813,1.82311868396169,-8.97722407551511,-1.83073015530115
factor(Year)2015,-4.24959028646459,1.81421498360714,-7.80538631454752,-0.693794258381673
factor(Year)2016,-4.7238133036637,1.80783100409719,-8.26709696182908,-1.18052964549832
factor(Year)2017,-5.04456441038196,1.81308299585842,-8.59814178324644,-1.49098703751748
factor(Year)2018,-6.25107350983794,1.82173080360436,-9.82160027442969,-2.6805467452462
factor(Year)2019,-5.91757472965008,1.86783962222214,-9.57847311810237,-2.25667634119779
factor(Year)2021,-6.07308669322217,1.83044272319371,-9.66068850644527,-2.48548487999908
factor(Year)2022,-5.83525744937486,1.84163397850627,-9.44479371995236,-2.22572117879735
factor(Year)2023,-4.8594742185528,1.84054667364829,-8.46687941076845,-1.25206902633714
factor(Year)2024,-5.26851365677288,1.8034111673025,-8.80313459400312,-1.73389271954265
Pass,-0.0776779838178894,0.225679887313016,-0.520002434986458,0.364646467350679
factor(Year)2003,-5.62535394371726,1.81626432996982,-9.18516661686287,-2.06554127057164
factor(Year)2004,-6.99109639663877,1.89634378433515,-10.7078619162421,-3.27433087703548
factor(Year)2005,-5.86628153794275,1.82121801152361,-9.43580324852468,-2.29675982736082
factor(Year)2006,-5.91225180877829,1.84010504415935,-9.5187914231011,-2.30571219445549
factor(Year)2007,-6.50491237069241,1.81618317502461,-10.0645659830683,-2.94525875831657
factor(Year)2008,-4.17855384067324,1.79832228921752,-7.70320076013521,-0.653906921211275
factor(Year)2009,-4.7781163278697,1.8054813846786,-8.31679481659725,-1.23943783914214
factor(Year)2010,-4.70550453922362,1.80031715234472,-8.23406131856899,-1.17694775987825
factor(Year)2011,-5.50167491682406,1.80639602370022,-9.04214606509284,-1.96120376855527
factor(Year)2012,-4.28562564117583,1.76809006269743,-7.75101848548596,-0.820232796865712
factor(Year)2013,-5.69269422955469,1.82144003686557,-9.26265110181052,-2.12273735729885
factor(Year)2014,-4.96559896580223,1.79887437735421,-8.49132795812841,-1.43986997347606
