Year,est,lwr,upr,log_est,se,type
2003,748770.251680875,393625.683023358,1424340.21453059,13.5261874753661,0.328083468279536,index
2004,463520.8162952,230320.846156149,932835.871023621,13.0466065740803,0.356832054307763,index
2005,408740.879215076,206383.772519509,809506.989342974,12.9208366870977,0.348651304056176,index
2006,375970.881478691,192770.675737405,733275.96730749,12.8372669764974,0.340827907539903,index
2007,622258.719669953,327414.904117655,1182615.41956608,13.3411112332614,0.327622228156782,index
2008,457086.825753237,241472.745029622,865225.457438437,13.0326286425377,0.325575754904348,index
2009,423260.898764173,235080.280667405,762079.183817718,12.955744049845,0.300036990391022,index
2010,485077.342345674,278670.978534072,844365.026078139,13.0920636259598,0.282799354398574,index
2011,488136.324943966,247849.874343866,961376.608967798,13.0983500002165,0.345808141934582,index
2012,912761.601803601,466101.61098172,1787450.89503617,13.72423001026,0.342899704742398,index
2013,1103239.65234307,565313.559564491,2153031.19818976,13.9137615478384,0.341141839464249,index
2014,331723.553487527,180402.042358798,609973.781336326,12.7120572308179,0.310778171332023,index
2015,407983.163725325,213424.987520457,779900.5346896,12.9189811871558,0.330587954095511,index
2016,500547.198449177,254770.517196282,983424.222836158,13.123457175887,0.344566887360891,index
2017,593204.130629714,325202.185999885,1082068.8044092,13.2932938525219,0.306684958812098,index
2018,264771.514983503,138375.746923124,506620.247445572,12.4866225254442,0.331074684406328,index
2019,252895.545235108,110378.523875877,579425.730241535,12.4407318177742,0.422998055332569,index
2021,390744.844383819,199439.273094637,765554.000691154,12.8758100540414,0.3431414994804,index
2022,560432.910071438,290731.096151521,1080328.35444423,13.2364648177582,0.334858585261542,index
2023,742050.430228335,398187.51828303,1382863.13789139,13.5171724851073,0.317604897458812,index
2024,640383.226150908,323902.202452037,1266094.1272734,13.3698220669929,0.347774330264755,index
2003,464082.186688134,204182.336980049,1054803.65827277,13.0478169420064,0.418909870864871,index
2004,665165.284047015,287196.997823243,1540562.25676026,13.4077908361943,0.428511533874702,index
2005,599814.658035173,313471.058147111,1147721.98148197,13.3043759832031,0.331084485244724,index
2006,618227.665550107,291720.365233101,1310177.45760099,13.3346120594584,0.383201475275263,index
2007,1022529.3355408,470985.53484804,2219954.04249274,13.837789856503,0.395521143075114,index
2008,578092.524665092,274646.513706205,1216803.96581022,13.2674892121188,0.379725889295191,index
2009,568006.854139488,272629.562221172,1183407.19810752,13.2498887647775,0.374506640317732,index
2010,900932.344691353,471327.715640718,1722111.94626582,13.7111854446384,0.330555322329744,index
2011,767751.373251733,387787.408385983,1520013.69405791,13.5512212269719,0.348480217211171,index
2012,623504.804525786,292689.749859251,1328226.36068972,13.3431117498076,0.385845506844696,index
2013,760017.835306094,377766.807928433,1529057.33870825,13.5410971794952,0.356672271030104,index
2014,945933.881505827,468308.492339248,1910686.91432672,13.7599279528914,0.358703235891241,index
2015,962693.732194689,467631.380647929,1981858.49016983,13.7774906050922,0.368402171893923,index
2016,796991.30394991,403559.457210681,1573981.54651638,13.588599046734,0.347210429672821,index
2017,598983.577254076,271411.589952454,1321908.64024245,13.3029894597836,0.403883814313186,index
2018,787090.036674696,363736.825589312,1703183.95677663,13.5760979257792,0.3938399140837,index
2019,1180000.0806668,426982.804400221,3261021.69929194,13.9810250648035,0.518645267029072,index
2021,319138.408666454,131564.4464862,774140.176972811,12.6733801706339,0.45211446727067,index
2022,949216.130806112,403133.369859035,2235020.29439435,13.7633917975061,0.436931022969481,index
2023,632462.043044538,296447.290412554,1349340.16544862,13.3573754867863,0.386614643833149,index
2024,669778.449787298,331520.78162818,1353167.57397915,13.4147022647239,0.358810924052766,index
2003,382630.30721697,194639.386259366,752190.781190919,12.8548245466957,0.344863848409476,index
2004,489217.285131941,238800.850716505,1002230.73474723,13.1005620156377,0.365913250618909,index
2005,341098.569949032,175276.451261294,663798.437177557,12.7399267759296,0.339703715593796,index
2006,246030.396285333,111202.083021747,544332.932005241,12.4132103694168,0.405163555477297,index
2007,367550.738946294,191387.768307501,705863.007310441,12.8146166532649,0.332944793319012,index
2008,458534.606833482,227436.341322588,924452.022228579,13.0357910462021,0.357744015644373,index
2009,482972.556168297,252975.971948581,922073.69820542,13.0877151114931,0.329937348813381,index
2010,587545.665104873,304952.182422373,1132013.24168717,13.2837092498179,0.334597467420491,index
