term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-2.73068464292357,0.82222829993276,-4.34222249786137,-1.11914678798576
factor(Year)2004,-3.32070935070813,0.989491135962422,-5.2600763402161,-1.38134236120016
factor(Year)2005,-3.50221355370017,0.880853718407711,-5.22865511742747,-1.77577198997287
factor(Year)2006,-3.24959476785939,0.882031892376977,-4.97834551013398,-1.52084402558481
factor(Year)2007,-2.80273526170188,0.784306190401943,-4.33994714774151,-1.26552337566226
factor(Year)2008,-3.91815379579222,0.956063926717362,-5.79200465907619,-2.04430293250825
factor(Year)2009,-4.01663875871124,0.960668760757995,-5.89951493086964,-2.13376258655285
factor(Year)2010,-4.690158328726,1.18908738297731,-7.02072677383252,-2.35958988361949
factor(Year)2011,-3.82544298576722,0.965053199314981,-5.71691249958974,-1.9339734719447
factor(Year)2012,-3.23776610599198,0.883733424793017,-4.96985179052053,-1.50568042146343
factor(Year)2013,-1.4329946481624,0.721003894410747,-2.84613631392059,-0.0198529824042208
factor(Year)2014,-1.92491993938869,0.710759511204826,-3.31798298301944,-0.531856895757942
factor(Year)2015,-2.01142366314713,0.734505448177502,-3.45102788802348,-0.571819438270774
factor(Year)2016,-1.8502110957764,0.729008133841187,-3.27904078254188,-0.421381409010919
factor(Year)2017,-2.05632072039509,0.745089565006759,-3.51666943306495,-0.595972007725224
factor(Year)2018,-2.29160818112426,0.774452463290264,-3.8095071169115,-0.773709245337011
factor(Year)2019,-2.69063785970574,0.898740047830413,-4.45213598491716,-0.929139734494329
factor(Year)2021,-1.84253362666326,0.713249673043653,-3.24047729781379,-0.444589955512733
factor(Year)2022,-2.95792066293417,0.790489655109411,-4.5072519171001,-1.40858940876823
factor(Year)2023,-2.13971319817985,0.743436142062746,-3.59682126142824,-0.682605134931466
factor(Year)2024,-1.82973242339328,0.717813994215607,-3.23662199965471,-0.422842847131846
Pass,-0.23720201023563,0.224258109646634,-0.676739828384068,0.202335807912808
factor(Year)2003,-2.72033103071565,0.613789239853952,-3.92333583492761,-1.51732622650369
factor(Year)2004,-4.19380285269074,0.904666242334627,-5.9669161056958,-2.42068959968569
factor(Year)2005,-3.18949562659192,0.614162341510219,-4.39323169661274,-1.9857595565711
factor(Year)2006,-3.89452834399794,0.773399318454252,-5.4103631538361,-2.37869353415978
factor(Year)2007,-3.07189577954085,0.589956840381488,-4.22818993912162,-1.91560161996009
factor(Year)2008,-4.046274471792,0.728449621005411,-5.47400949351446,-2.61853945006955
factor(Year)2009,-4.50658328559597,0.777960597599419,-6.03135803828209,-2.98180853290985
factor(Year)2010,-3.13535763153375,0.633438465025869,-4.37687420940679,-1.89384105366071
factor(Year)2011,-4.65927408527219,0.787203643661619,-6.20216487534766,-3.11638329519671
factor(Year)2012,-3.14536201212251,0.625983829877454,-4.37226777358677,-1.91845625065825
factor(Year)2013,-2.72646251636981,0.628624420504733,-3.95854374036145,-1.49438129237817
factor(Year)2014,-2.09307497482942,0.545831816742269,-3.16288567726033,-1.0232642723985
factor(Year)2015,-3.12207463649603,0.617873565205786,-4.33308457129873,-1.91106470169333
factor(Year)2016,-2.36801383310626,0.566802686238091,-3.47892668447347,-1.25710098173904
factor(Year)2017,-2.99225371288879,0.583367695958479,-4.13563338671152,-1.84887403906606
factor(Year)2018,-1.98196508763547,0.543233838854572,-3.04668384697387,-0.917246328297078
factor(Year)2019,-1.67886581068442,0.577606352796884,-2.81095345940785,-0.546778161960997
factor(Year)2021,-1.70564137123701,0.54346911389816,-2.7708212611873,-0.640461481286723
factor(Year)2022,-2.6605476651277,0.583146839752679,-3.8034944687413,-1.5176008615141
factor(Year)2023,-2.98075001207483,0.611500263684209,-4.17926850543263,-1.78223151871703
factor(Year)2024,-2.3355328858901,0.581428622020483,-3.475112044631,-1.1959537271492
Pass,-0.049848145852508,0.169515114388595,-0.382091664889342,0.282395373184326
factor(Year)2003,-3.50458811774977,0.651155956849797,-4.78083034149409,-2.22834589400545
factor(Year)2004,-4.05124551854165,0.763897641896689,-5.54845738453424,-2.55403365254907
factor(Year)2005,-3.67194522688791,0.629898446870996,-4.90652349667278,-2.43736695710305
factor(Year)2006,-3.57123533760913,0.621335079408898,-4.78902971558191,-2.35344095963636
factor(Year)2007,-3.37839831720493,0.619183291012509,-4.59197526741843,-2.16482136699143
factor(Year)2008,-4.54042019470703,0.731546939482915,-5.97422584909405,-3.10661454032002
factor(Year)2009,-4.48017573145889,0.732736950689398,-5.91631376495182,-3.04403769796597
factor(Year)2010,-3.9545783707113,0.666728569975403,-5.26134235532699,-2.64781438609562
factor(Year)2011,-4.97854146461198,0.80404814819465,-6.55444687690962,-3.40263605231434
factor(Year)2012,-3.5895749139804,0.61332699322566,-4.79167373144893,-2.38747609651186
factor(Year)2013,-3.01355017975786,0.670071867347099,-4.32686690681167,-1.70023345270404
factor(Year)2014,-2.5944079671519,0.587746958255589,-3.74637083735583,-1.44244509694798
factor(Year)2015,-3.32275786871623,0.596243122324294,-4.49137291450156,-2.15414282293091
factor(Year)2016,-2.3846053341185,0.578624582981664,-3.51868867733207,-1.25052199090493
factor(Year)2017,-2.89769399079586,0.583011272137068,-4.04037508676539,-1.75501289482633
factor(Year)2018,-2.88339378598732,0.584422175977736,-4.02884020267021,-1.73794736930443
factor(Year)2019,-3.29530190434295,0.705623865864287,-4.67829926806888,-1.91230454061703
factor(Year)2021,-2.62863801639192,0.562160973290018,-3.73045327755433,-1.5268227552295
factor(Year)2022,-3.51363374902621,0.62096624062883,-4.73070521627396,-2.29656228177847
factor(Year)2023,-2.95324846232562,0.597015724965925,-4.1233777814629,-1.78311914318834
factor(Year)2024,-2.62982870939099,0.583875775912854,-3.77420420162557,-1.48545321715642
Pass,0.100175635789843,0.160202763160751,-0.213816010229029,0.414167281808715
factor(Year)2003,-2.80095970796803,0.679984216276189,-4.13370428192506,-1.46821513401101
factor(Year)2004,-2.32642293897889,0.681356868961768,-3.66185786276293,-0.990988015194844
factor(Year)2005,-3.30187417546809,0.732399418152229,-4.73735065734454,-1.86639769359163
factor(Year)2006,-3.20008505212449,0.695006600551616,-4.56227295822327,-1.83789714602571
factor(Year)2007,-3.49938659005607,0.720339418649762,-4.91122590725412,-2.08754727285801
factor(Year)2008,-3.78929786788805,0.732316125406768,-5.22461109898323,-2.35398463679286
factor(Year)2009,-3.86277544197837,0.74142520581088,-5.31594214259789,-2.40960874135885
factor(Year)2010,-4.902413581643,0.94147453789467,-6.74766976827804,-3.05715739500796
factor(Year)2011,-3.80981507138941,0.746809460785682,-5.27353471784312,-2.3460954249357
factor(Year)2012,-2.92587568723517,0.655755069924069,-4.21113200696589,-1.64061936750445
factor(Year)2013,-2.46912121954875,0.680108476775895,-3.8021093396099,-1.1361330994876
factor(Year)2014,-1.77806509540828,0.608068155899883,-2.96985678111774,-0.586273409698826
factor(Year)2015,-2.64531864749508,0.657681047263982,-3.93434981344707,-1.35628748154309
factor(Year)2016,-2.85684362551958,0.660836128326901,-4.1520586367232,-1.56162861431597
factor(Year)2017,-2.26159831846664,0.615591034369483,-3.46813457503659,-1.0550620618967
factor(Year)2018,-2.19162988198497,0.616229949307252,-3.39941838882212,-0.983841375147808
factor(Year)2019,-1.88396715465331,0.679879486383485,-3.21650646179253,-0.551427847514092
factor(Year)2021,-2.00641500018394,0.62133053485218,-3.22420047098922,-0.788629529378657
factor(Year)2022,-2.52106381016024,0.640448630197669,-3.77632005929568,-1.2658075610248
factor(Year)2023,-3.10682267227447,0.674074081560349,-4.42798359504467,-1.78566174950427
factor(Year)2024,-2.12164899785915,0.618346538039914,-3.33358594238241,-0.909712053335892
Pass,-0.0151917913080028,0.164758965591461,-0.338113429997341,0.307729847381335
factor(Year)2003,-2.70400786053115,0.641104803985288,-3.96055018665793,-1.44746553440438
factor(Year)2004,-3.02657050954564,0.666974611734004,-4.33381672714688,-1.71932429194441
factor(Year)2005,-3.07391871521543,0.662828204603169,-4.37303812417499,-1.77479930625588
factor(Year)2006,-3.53039554944706,0.709482978293497,-4.92095663454652,-2.13983446434759
factor(Year)2007,-3.74518924455786,0.708616992713765,-5.13405302910993,-2.3563254600058
factor(Year)2008,-4.69200230343742,0.828582632825839,-6.31599442199144,-3.0680101848834
factor(Year)2009,-3.49722827898399,0.671842334974358,-4.81401505882303,-2.18044149914495
factor(Year)2010,-3.16871100876068,0.675567566486369,-4.49279910819733,-1.84462290932403
factor(Year)2011,-4.37468619528073,0.770186281644397,-5.88422356869057,-2.86514882187089
factor(Year)2012,-3.1188540083024,0.639886458590987,-4.37300842133562,-1.86469959526919
factor(Year)2013,-2.53968198747796,0.631206095569104,-3.77682320161555,-1.30254077334037
factor(Year)2014,-2.18518913500345,0.603446908445537,-3.36792334213874,-1.00245492786816
factor(Year)2015,-3.28276438910886,0.672247687867553,-4.60034564601959,-1.96518313219814
factor(Year)2016,-2.90130208130536,0.647194921962849,-4.16978081932975,-1.63282334328097
factor(Year)2017,-2.47327281207313,0.61613726445308,-3.6808796599342,-1.26566596421206
factor(Year)2018,-2.28946827211076,0.601896174366512,-3.46916309630156,-1.10977344791995
factor(Year)2019,-3.0269309075948,0.746847544919374,-4.49072519757893,-1.56313661761066
factor(Year)2021,-1.89762359679552,0.591236700060679,-3.05642623525276,-0.738820958338276
factor(Year)2022,-3.04591507827929,0.647990309807008,-4.31595274783197,-1.7758774087266
factor(Year)2023,-3.27289535531558,0.670500605597124,-4.58705239389824,-1.95873831673292
factor(Year)2024,-2.73804268349376,0.6234722269329,-3.96002579364323,-1.5160595733443
Pass,0.0388008414088982,0.171879723549824,-0.298077226421458,0.375678909239254
factor(Year)2003,-2.70793387518933,0.663254496057044,-4.0078888000454,-1.40797895033326
factor(Year)2004,-2.46581976771535,0.685277076520729,-3.80893815712687,-1.12270137830382
factor(Year)2005,-2.38208899908531,0.604624347213002,-3.56713094379883,-1.19704705437178
factor(Year)2006,-2.25158523400053,0.58348687370408,-3.3951984919124,-1.10797197608866
