"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,20739.126693288,2835.32994360927,151697.116227939,9.93977737353382,1.01525527898173,"index",0.1,1
2004,461309.691557852,29565.4601269983,7197812.26509212,13.0418248785553,1.40179249662731,"index",0.1,1
2005,4733.09340562117,435.048219134116,51493.5407181345,8.46233426468324,1.21781696499579,"index",0.1,1
2006,70018.2382503485,8600.30034129824,570044.474393614,11.1565110335287,1.06989651086994,"index",0.1,1
2007,265081.775252354,43099.6237788136,1630370.32368438,12.4877936432235,0.926815038708921,"index",0.1,1
2008,20467.2767683588,1754.65963410581,238741.126865939,9.92658263455176,1.25336612178496,"index",0.1,1
2009,4838.02219278708,362.485359605768,64572.1492403355,8.48426127834157,1.32210449406036,"index",0.1,1
2010,5898.17890544833,173.667586304109,200316.680510303,8.68239892215498,1.79863298584738,"index",0.1,1
2011,14972.7882279461,1277.86444107328,175436.752219686,9.6139897144423,1.25565784661903,"index",0.1,1
2012,39809.0071421648,3903.85540910289,405946.656208023,10.5918484757729,1.1847812428418,"index",0.1,1
2013,270597.246769539,79410.5548442532,922079.818014946,12.5083868201273,0.625521825324385,"index",0.1,1
2014,23678.274695569,6641.17193017293,84421.9511938194,10.0723132272038,0.648618808726295,"index",0.1,1
2015,43080.4479301899,10727.0275532017,173013.911324564,10.670824528853,0.709351174124261,"index",0.1,1
2016,581413.25725162,118785.907048909,2845803.71616603,13.2732170691373,0.810289898347574,"index",0.1,1
2017,681397.120311639,139500.130202601,3328326.89757833,13.4319005580651,0.809239229384219,"index",0.1,1
2018,135005.839810332,24117.5972142686,755737.672412476,11.8130733143393,0.878779559230923,"index",0.1,1
2019,36416.111124521,3966.47174851981,334335.710301818,10.5027665690115,1.13121176526937,"index",0.1,1
2021,332518.339274016,69430.7975437418,1592498.57217744,12.7144502932684,0.799180234393648,"index",0.1,1
2022,187501.96976982,29499.4208493485,1191785.72512005,12.1415446297765,0.943598318364378,"index",0.1,1
2023,58792.497860307,13308.1897472079,259731.629193173,10.981769538337,0.757990787018404,"index",0.1,1
2024,270853.453431245,64919.6285144095,1130037.16925688,12.5093331913509,0.72880313271653,"index",0.1,1
2003,173221.827721791,42238.9731428372,710381.890625246,12.0623282932772,0.720028376230147,"index",0.2,5
2004,32909.5864037755,2461.4655148835,439998.395556974,10.4015192743645,1.32298710869954,"index",0.2,5
2005,59128.6356891328,15019.0752589296,232783.676636784,10.9874706154747,0.699193592421246,"index",0.2,5
2006,26948.1167537351,2483.02368505877,292466.399310948,10.2016686946278,1.21657152329598,"index",0.2,5
2007,100074.228897118,25099.5521154552,399005.179187481,11.5136674785812,0.705656944992725,"index",0.2,5
2008,31123.8592941681,4525.82879126647,214036.955890262,10.3457299839121,0.983780315081156,"index",0.2,5
2009,141366.840258372,17369.6398391585,1150546.79945536,11.8591134947474,1.06973107001636,"index",0.2,5
2010,98942.2459183105,19694.1170647133,497080.828512988,11.5022915843251,0.823594899235939,"index",0.2,5
2011,72998.2153025089,7872.69129268376,676863.760973778,11.1981902719208,1.13626323644673,"index",0.2,5
2012,111459.503934196,21480.5492119068,578347.457260115,11.6214166104963,0.840073341481456,"index",0.2,5
2013,162295.379666549,31654.0046357831,832115.574764702,11.9971732852389,0.833971108544372,"index",0.2,5
2014,192703.144688384,69159.5730557351,536939.433429787,12.168906173358,0.522833284155191,"index",0.2,5
2015,77290.900887679,16475.3590814465,362595.03240548,11.255331515974,0.788642226845852,"index",0.2,5
2016,209955.571369093,72129.354070239,611142.890673831,12.2546512224075,0.545129839351823,"index",0.2,5
2017,183762.932742752,49240.0931361553,685799.179072268,12.1214017968718,0.671919655406725,"index",0.2,5
2018,554533.008460149,195524.785357382,1572725.71305884,13.2258816123329,0.531866499008228,"index",0.2,5
2019,584083.050334708,185955.039426919,1834599.43188241,13.2777984611768,0.583958822835753,"index",0.2,5
2021,295310.442711476,94074.1220200103,927016.438759835,12.5957824301663,0.583655698032093,"index",0.2,5
2022,181841.202685625,50213.1131828974,658517.683890925,12.1108890724818,0.656572055548688,"index",0.2,5
2023,447844.581138481,109118.345204227,1838048.11628808,13.0122015341059,0.720428149291832,"index",0.2,5
2024,299993.493539651,83352.6401941717,1079703.00588531,12.611516065202,0.653420425901546,"index",0.2,5
2003,27389.6868468222,6128.14501600582,122417.949250154,10.217921829071,0.763929574853962,"index",0.2,6
2004,46841.8944447663,6435.77890905505,340932.015561858,10.7545332619144,1.01272529611652,"index",0.2,6
2005,74372.4970754441,15869.3339229768,348550.7550653,11.2168414895145,0.788125526737312,"index",0.2,6
2006,134084.663961829,34471.6476734812,521550.268790533,11.8062267000291,0.693040408986044,"index",0.2,6
2007,110123.180280465,24832.6706388005,488353.226742169,11.6093548389745,0.759932029907402,"index",0.2,6
2008,20464.0013642738,2730.41952508565,153373.995457296,9.92642259048564,1.0276780888875,"index",0.2,6
2009,10864.5336373976,1498.63220081417,78763.8828886875,9.29325896838205,1.01070778802261,"index",0.2,6
2010,10119.2194322056,1859.79439562712,55059.0980152936,9.22219180866171,0.864286589657617,"index",0.2,6
2011,4292.53404485885,399.063483996545,46172.7250555248,8.36463252398278,1.21201819560267,"index",0.2,6
2012,48718.61404441,11675.7355555104,203285.124361009,10.7938164546148,0.728864602981074,"index",0.2,6
2013,44586.3368884372,9335.83293884899,212936.697791242,10.7051827432812,0.797753160825663,"index",0.2,6
2014,44240.6178990823,14435.3068294914,135586.468317664,10.6973986030761,0.5714218547378,"index",0.2,6
2015,79376.6962156507,22453.6922214963,280606.852537138,11.2819601056127,0.644271921176222,"index",0.2,6
2016,428201.34343884,141553.446729357,1295315.61936034,12.9673487925425,0.564763516637544,"index",0.2,6
2017,221589.093511801,69589.2082122493,705593.979652994,12.3085800156396,0.590936999300391,"index",0.2,6
2018,135332.779264063,38059.3489411419,481221.083725299,11.8154920557995,0.647251700143627,"index",0.2,6
2019,49962.9440501473,9363.80346092624,266589.937366245,10.8190368906488,0.85431674472626,"index",0.2,6
2021,149837.348860361,49290.7232259929,455485.934149619,11.9173056438245,0.567262704890448,"index",0.2,6
2022,62455.7371122314,15637.5596485895,249445.513615292,11.0422133786237,0.706534620187235,"index",0.2,6
2023,87377.5049052372,25575.0559095881,298526.360624785,11.3779931475685,0.626858646556332,"index",0.2,6
2024,74210.6072927415,22860.9800752635,240900.180859548,11.2146623743661,0.600763878464316,"index",0.2,6
2003,88228.6441667324,21491.506130429,362203.263198868,11.3876869530657,0.720561138801002,"index",0.2,7
2004,1097548.68059112,278250.603687577,4329238.06921857,13.9085897788395,0.700172223031474,"index",0.2,7
2005,59482.3959152362,9258.76132498207,382141.336149386,10.9934356807856,0.949053218817211,"index",0.2,7
2006,67160.5101981318,16482.3742121939,273658.034455765,11.1148407079186,0.71674472573916,"index",0.2,7
2007,89107.371299794,16482.7802465743,481722.349092751,11.3975973406743,0.860998396127889,"index",0.2,7
2008,155068.200644076,21341.4987542476,1126731.87239043,11.9516203032833,1.01186122009343,"index",0.2,7
2009,67769.5516466179,12014.2623250858,382271.670628833,11.1238682822992,0.882678735846122,"index",0.2,7
