term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-2.28546707900051,0.981295647145742,-4.20877120559209,-0.362162952408929
factor(Year)2004,-0.965626751512154,0.950762361294074,-2.8290867375048,0.897833234480489
factor(Year)2005,-1.90379523147503,0.959014185622346,-3.78342849595783,-0.0241619669922182
factor(Year)2006,-3.09205866203123,1.04428082085534,-5.13881146065362,-1.04530586340884
factor(Year)2007,-2.5224042859407,0.970976673688597,-4.42548359619885,-0.619324975682552
factor(Year)2008,-2.77397664320248,1.03164341744909,-4.79596058629051,-0.751992700114446
factor(Year)2009,-2.22514127086152,0.96046255243023,-4.10761328212418,-0.342669259598856
factor(Year)2010,-2.16051878210927,0.940363142095108,-4.0035966730046,-0.317440891213939
factor(Year)2011,-2.60979633726374,0.977206692027898,-4.52508625908994,-0.694506415437537
factor(Year)2012,-2.28966927792333,0.986793781002104,-4.22374954885556,-0.355589006991103
factor(Year)2013,-3.21879293092141,1.13117201016933,-5.43584933117308,-1.00173653066975
factor(Year)2014,-1.59562739378877,0.915634774774503,-3.39023857533924,0.1989837877617
factor(Year)2015,-1.07936130753118,0.914300755963101,-2.8713578602566,0.712635245194244
factor(Year)2016,-1.77835026519758,0.949084991041459,-3.63852266590636,0.0818221355111963
factor(Year)2017,-2.50188088612482,0.969127212976376,-4.40133531999619,-0.60242645225344
factor(Year)2018,-1.68834143443762,0.952720256437208,-3.55563882439632,0.17895595552107
factor(Year)2019,-1.83697151373337,1.01156012826964,-3.81959293333858,0.145649905871835
factor(Year)2021,-2.02306378155577,0.949446146061776,-3.88394403309721,-0.162183530014333
factor(Year)2022,-2.57446941792922,1.00352355013287,-4.54133943382742,-0.607599402031022
factor(Year)2023,-2.16003408150149,0.942082383192053,-4.00648162302757,-0.313586539975401
factor(Year)2024,-1.98870418082565,0.942522523059547,-3.83601438064019,-0.141393981011118
Pass,-0.0713446045585349,0.213973757377664,-0.490725462655468,0.348036253538398
factor(Year)2003,-1.32271585306098,0.918935309393821,-3.12379596359504,0.478364257473084
factor(Year)2004,-1.90566864806194,0.959611953670195,-3.78647351638964,-0.0248637797342406
factor(Year)2005,-2.13580711202453,0.88916395838159,-3.87853644680352,-0.393077777245541
factor(Year)2006,-2.62090131007851,0.965131100849721,-4.51252350810346,-0.729279112053562
factor(Year)2007,-2.34977613969593,0.917786902523455,-4.14860541412448,-0.550946865267387
factor(Year)2008,-2.60214604294642,0.951436426314544,-4.46692717210242,-0.737364913790417
factor(Year)2009,-3.87571009173028,1.09987872197725,-6.03143277416763,-1.71998740929293
factor(Year)2010,-2.93354219790423,0.998074076631934,-4.88973144200589,-0.977352953802565
factor(Year)2011,-2.34483293623714,0.961771317796429,-4.22987008048176,-0.459795791992508
factor(Year)2012,-3.47633884264505,1.08823716516266,-5.60924449300184,-1.34343319228827
factor(Year)2013,-2.22622968261712,0.927552158515185,-4.04419850708927,-0.408260858144975
factor(Year)2014,-1.79596810989676,0.907607396518924,-3.57484591917601,-0.0170903006175041
factor(Year)2015,-1.31698707821712,0.87745901363505,-3.03677514285185,0.402800986417623
factor(Year)2016,-1.00441086039005,0.906760279266622,-2.78162835036411,0.77280662958401
factor(Year)2017,-2.11211131758395,0.905594822220298,-3.88704455372168,-0.337178081446212
factor(Year)2018,-1.71890162785491,0.927692767530326,-3.53714604093263,0.0993427852228208
factor(Year)2019,-1.64570599807139,0.992500090316895,-3.59097042974526,0.299558433602472
factor(Year)2021,-2.21781192406244,0.952093228166115,-4.0838803611925,-0.351743486932384
factor(Year)2022,-2.81479723378392,0.992280605774078,-4.7596314836587,-0.869962983909135
factor(Year)2023,-2.1370932389486,0.903001439981029,-3.90694353929923,-0.367242938597979
factor(Year)2024,-2.14903246924321,0.888377310243849,-3.89022000200372,-0.407844936482703
Pass,-0.0672950645304769,0.222924176809971,-0.50421842236126,0.369628293300306
factor(Year)2003,-3.03104672564603,1.55292127657788,-6.07471649856464,0.0126230472725908
factor(Year)2004,-2.58861721368199,1.53507474493834,-5.59730842733814,0.420073999974163
factor(Year)2005,-2.43771177267982,1.51456493216341,-5.40620449196746,0.530780946607816
factor(Year)2006,-2.82668112101522,1.54723026450594,-5.85919671523724,0.205834473206802
factor(Year)2007,-3.13977296113518,1.52516984609428,-6.12905092978646,-0.150494992483901
factor(Year)2008,-3.31682658394977,1.54610258387547,-6.34713196475001,-0.286521203149523
factor(Year)2009,-3.22769243698394,1.55223878093132,-6.27002454301568,-0.185360330952195
factor(Year)2010,-2.3474147696111,1.49611108020754,-5.2797386036892,0.584909064466996
factor(Year)2011,-3.84836707730447,1.632400452874,-7.04781317328438,-0.648920981324563
factor(Year)2012,-2.30003118651901,1.50278850863004,-5.24544253981455,0.645380166776532
factor(Year)2013,-2.88383707906,1.51414759282705,-5.85151182827904,0.0838376701590446
factor(Year)2014,-2.68631956708567,1.53361745190921,-5.6921545388898,0.319515404718462
factor(Year)2015,-2.6459987918013,1.50477439396695,-5.59530240883461,0.303304825232006
factor(Year)2016,-2.34337694497485,1.51245283221633,-5.30773002443445,0.620976134484746
factor(Year)2017,-3.48173843175467,1.54584479421848,-6.51153855411163,-0.451938309397715
factor(Year)2018,-2.82240746163205,1.52154350454644,-5.80457793145394,0.159763008189829
factor(Year)2019,-2.97131133635154,1.59199454933071,-6.0915633166238,0.148940643920722
factor(Year)2021,-3.77478048786347,1.57196162984254,-6.85576866743373,-0.693792308293211
factor(Year)2022,-3.03773099487172,1.56236043865566,-6.09990118550702,0.0244391957635757
factor(Year)2023,-2.18273683942607,1.4925189833397,-5.10802029301421,0.742546614162075
factor(Year)2024,-2.93515460255489,1.52227478394883,-5.9187583536681,0.0484491485583134
Pass,-0.104754683057729,0.233613218330083,-0.562628177297184,0.353118811181725
factor(Year)2003,-2.5094206302919,1.81855586282324,-6.0737246252996,1.05488336471581
factor(Year)2004,-2.86263065179641,1.85907335749326,-6.50634747710115,0.781086173508331
factor(Year)2005,-3.36746858414389,1.85768531140186,-7.00846488910062,0.273527720812829
factor(Year)2006,-2.96792419343444,1.83961696145987,-6.5735071832448,0.637658796375921
factor(Year)2007,-2.20650116384697,1.81357364966191,-5.76104020049518,1.34803787280123
factor(Year)2008,-2.99356626029227,1.82795204373128,-6.57628643147195,0.589153910887423
factor(Year)2009,-3.23692926948126,1.84829841577769,-6.85952759708796,0.385669058125441
factor(Year)2010,-3.02662631611112,1.82303453755664,-6.59970835229476,0.546455720072522
factor(Year)2011,-4.82856109765328,2.03725303507592,-8.82150367379699,-0.835618521509565
factor(Year)2012,-2.96652434224781,1.83659265055993,-6.56617979161623,0.633131107120603
factor(Year)2013,-2.21029844903049,1.79675362327647,-5.73187083974421,1.31127394168323
factor(Year)2014,-1.6812261958894,1.80381375310367,-5.21663618679061,1.85418379501182
factor(Year)2015,-2.99670799684153,1.84256074712623,-6.60806070053615,0.614644706853102
factor(Year)2016,-1.90858578051098,1.77720574600547,-5.39184503579934,1.57467347477738
factor(Year)2017,-3.0354550498743,1.82278425719003,-6.60804654555336,0.537136445804761
factor(Year)2018,-2.35040716098195,1.80525867310143,-5.88864914303931,1.18783482107541
factor(Year)2019,-1.82764819656253,1.83251455807699,-5.41931073153877,1.76401433841371
factor(Year)2021,-3.22404387492964,1.82401244775755,-6.79904257988718,0.350954830027907
factor(Year)2022,-2.34878122972176,1.85676841572104,-5.98798045216649,1.29041799272296
factor(Year)2023,-2.57438379688514,1.79268342457458,-6.08797874473325,0.939211150962967
factor(Year)2024,-2.75476256655602,1.81514768378707,-6.31238665339998,0.802861520287935
Pass,-0.407343718031686,0.238088323419781,-0.873988257073981,0.0593008210106084
factor(Year)2003,-2.53905982520544,2.31433289775803,-7.0750689530474,1.99694930263652
factor(Year)2004,-2.91097601236476,2.3247381567611,-7.46737907310254,1.64542704837302
factor(Year)2005,-2.93414013439971,2.30590399083012,-7.45362890823392,1.5853486394345
factor(Year)2006,-3.22433343666383,2.31899187277819,-7.76947398775018,1.32080711442251
factor(Year)2007,-2.50153909615852,2.30308834279739,-7.01550930125544,2.0124311089384
factor(Year)2008,-4.81698636164499,2.49851473776249,-9.71398526250201,0.0800125392120323
factor(Year)2009,-2.86854336868762,2.30975758478341,-7.39558504788132,1.65849831050607
factor(Year)2010,-3.21838513659853,2.3207461703205,-7.76696404768596,1.3301937744889
factor(Year)2011,-3.50382961098289,2.32162441486801,-8.05412984975307,1.04647062778728
factor(Year)2012,-3.4995827253392,2.33013725491285,-8.06656782400341,1.06740237332501
factor(Year)2013,-3.31931675642516,2.33838913171525,-7.90247523642694,1.26384172357663
factor(Year)2014,-2.40672028567328,2.29862517359217,-6.91194283987107,2.09850226852451
factor(Year)2015,-2.20413836107093,2.28617702411128,-6.684962990612,2.27668626847015
factor(Year)2016,-1.70073031978194,2.29679171455206,-6.20235936029398,2.80089872073009
factor(Year)2017,-1.768667183861,2.2921390921493,-6.26117725202998,2.72384288430797
factor(Year)2018,-2.97317365163852,2.33320353253429,-7.54616854400735,1.59982124073031
factor(Year)2019,-1.70057505363554,2.3063996601006,-6.22103532138813,2.81988521411705
factor(Year)2021,-2.75328442968187,2.29396833641719,-7.24937975073483,1.74281089137109
factor(Year)2022,-2.92807314518211,2.32388813719133,-7.48281019817698,1.62666390781277
factor(Year)2023,-2.03610174233113,2.2850734870101,-6.51476347889829,2.44255999423602
factor(Year)2024,-3.59913677210691,2.37937342859811,-8.26262299793079,1.06434945371696
Pass,-0.313156903731588,0.233718264742596,-0.771236285156274,0.144922477693097
factor(Year)2003,-3.03610730354007,1.26632662724823,-5.51806188561067,-0.554152721469467
factor(Year)2004,-2.01839173305457,1.19422538703551,-4.35903048106759,0.322247014958443
factor(Year)2005,-2.0964196708687,1.16392089957783,-4.3776627148947,0.184823373157307
factor(Year)2006,-3.57853989253352,1.3330022391342,-6.19117627254779,-0.965903512519238
factor(Year)2007,-2.52174323701663,1.17757223583954,-4.82974240845643,-0.213744065576829
factor(Year)2008,-3.22005736488768,1.31057217903201,-5.78873163493061,-0.65138309484476
factor(Year)2009,-2.76521960624623,1.22480790538946,-5.16579898878951,-0.364640223702952
factor(Year)2010,-2.92127297868739,1.18567051192197,-5.24514447958562,-0.597401477789149
factor(Year)2011,-2.47217776046598,1.19243644525164,-4.80931024701216,-0.13504527391979
factor(Year)2012,-2.35647031571841,1.16998755753026,-4.64960379083771,-0.0633368405991077
factor(Year)2013,-2.30274937137244,1.22226527489785,-4.69834528972617,0.0928465469812902
factor(Year)2014,-2.40058057018469,1.17269812990409,-4.69902666953418,-0.102134470835205
factor(Year)2015,-1.75765956815818,1.16227478059688,-4.03567627826726,0.520357141950907
factor(Year)2016,-2.08600366628805,1.16828662537471,-4.37580337564233,0.203796043066227
factor(Year)2017,-1.84820215481429,1.13394923438051,-4.07070181449685,0.374297504868266
factor(Year)2018,-2.09156270522532,1.15844396928143,-4.36207116312455,0.178945752673902
