"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,720563.281819334,110753.787184108,4687979.13197456,13.4877885209872,0.955488801142791,"index",0.1,1
2004,1076121.69401174,226678.800090598,5108717.26804565,13.8888741118326,0.794700722694751,"index",0.1,1
2005,514883.280700071,97473.5333818806,2719761.8014507,13.1516955145419,0.849178535946419,"index",0.1,1
2006,8463085.48570202,828258.348471125,86475211.5937135,15.9512243797122,1.18580953440072,"index",0.1,1
2007,152919.494989682,23212.8679674611,1007388.31499316,11.9376668853571,0.961856872150009,"index",0.1,1
2008,1355001.89153726,120265.386821849,15266488.3437268,14.1193134082634,1.23566417069194,"index",0.1,1
2009,286559.368080536,50212.4744767367,1635375.91585454,12.5657010121013,0.888629717421891,"index",0.1,1
2010,358207.685045821,66717.4458971229,1923226.28512701,12.7888682230012,0.857488444112478,"index",0.1,1
2011,189743.388152477,27351.9412539107,1316270.49843981,12.1534278496045,0.988224825224343,"index",0.1,1
2012,146883.975269793,19918.2587699762,1083172.10054415,11.8973982702334,1.01940962682027,"index",0.1,1
2013,41806.7175543345,2713.56057731249,644098.992033162,10.6408123126423,1.39532941244851,"index",0.1,1
2014,472455.022881704,111355.302064942,2004518.37053951,13.0656978317168,0.737368928896104,"index",0.1,1
2015,1264511.99676356,308993.447233073,5174836.56782165,14.0501968324047,0.718952743126946,"index",0.1,1
2016,1401755.35995284,250330.329592894,7849300.93110176,14.1532358377367,0.878944311365949,"index",0.1,1
2017,125233.762454923,20132.3582117279,779019.28297102,11.7379373694645,0.932595559404585,"index",0.1,1
2018,415559.137133681,84167.9418614993,2051724.12008666,12.9373802107882,0.814714369059494,"index",0.1,1
2019,316646.1497947,47441.9741559984,2113419.30776569,12.6655401826876,0.968526743915497,"index",0.1,1
2021,654686.200665603,97267.7065676681,4406539.81127621,13.3919113168672,0.972818385605145,"index",0.1,1
2022,262388.61489369,29902.0987389479,2302439.8998507,12.4775819467483,1.10813158559365,"index",0.1,1
2023,1316428.40478875,242011.89147211,7160737.98850655,14.090432873446,0.864143802926736,"index",0.1,1
2024,692128.206323858,126816.688665864,3777432.28457301,13.4475264866937,0.865846808242733,"index",0.1,1
2003,1073784.47032317,250216.879256007,4608054.78885183,13.886699854511,0.743185348408233,"index",0.1,10
2004,690525.467952908,115935.963085743,4112834.44067252,13.4452081345009,0.910432473904331,"index",0.1,10
2005,708994.157001315,156744.826370017,3206949.32204894,13.4716025642974,0.770028492291414,"index",0.1,10
