term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-3.17460400105024,0.690894519276706,-4.52873237594869,-1.82047562615178
factor(Year)2004,-2.69599949778806,0.709769634472911,-4.08712241867512,-1.30487657690099
factor(Year)2005,-3.55261624741846,0.686751241938397,-4.89862394795587,-2.20660854688105
factor(Year)2006,-3.07599061729146,0.668098346894931,-4.38543931533627,-1.76654191924665
factor(Year)2007,-2.62895078346516,0.626336472958605,-3.85654771266787,-1.40135385426245
factor(Year)2008,-3.56257865663821,0.695199734853659,-4.92514509901318,-2.20001221426325
factor(Year)2009,-3.19788320238009,0.661668989546488,-4.49473059157821,-1.90103581318196
factor(Year)2010,-3.69688277677764,0.677107109394002,-5.02398832486591,-2.36977722868938
factor(Year)2011,-3.17741804129507,0.661418926726369,-4.47377531637189,-1.88106076621826
factor(Year)2012,-3.5909730916184,0.668063089475757,-4.90035268639144,-2.28159349684536
factor(Year)2013,-2.04869662959546,0.631091053584353,-3.28561236558623,-0.811780893604693
factor(Year)2014,-3.390181018085,0.659420919539864,-4.68262227103541,-2.09773976513458
factor(Year)2015,-2.7092381270032,0.642297244978091,-3.96811759452956,-1.45035865947685
factor(Year)2016,-3.14639736255942,0.653351499099415,-4.42694277003953,-1.86585195507931
factor(Year)2017,-3.35009125253233,0.691478613807135,-4.705364431674,-1.99481807339066
factor(Year)2018,-3.69452242849108,0.696980290666127,-5.06057869613094,-2.32846616085121
factor(Year)2019,-3.44695153603343,0.795529086239428,-5.00615989371677,-1.88774317835009
factor(Year)2021,-2.57811778401195,0.627883843404666,-3.80874750355968,-1.34748806446421
factor(Year)2022,-2.54293936517665,0.646827073680782,-3.81069713381642,-1.27518159653689
factor(Year)2023,-2.82995113615101,0.639483776805959,-4.08331630738833,-1.57658596491368
factor(Year)2024,-3.40937831565068,0.667074730569576,-4.71682076256381,-2.10193586873756
Pass,0.106337391243023,0.197767072754289,-0.281278948683297,0.493953731169343
factor(Year)2003,-4.00156703773954,0.836298697821878,-5.64068236578817,-2.36245170969092
factor(Year)2004,-2.7136965926624,0.760075904001226,-4.20341799002153,-1.22397519530328
factor(Year)2005,-3.01001573273092,0.71941145899956,-4.42003628243548,-1.59999518302637
factor(Year)2006,-2.69070498834643,0.75186106993716,-4.16432560680102,-1.21708436989185
factor(Year)2007,-3.51199507143627,0.745941046985487,-4.97401265811792,-2.04997748475461
factor(Year)2008,-3.29202087876415,0.764094597770837,-4.78961877117661,-1.79442298635169
factor(Year)2009,-3.1017323203974,0.754814453391132,-4.5811414640543,-1.62232317674049
factor(Year)2010,-3.7460557869929,0.790618125893353,-5.29563883926843,-2.19647273471738
