"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,142484.882754903,31108.6072350951,652614.939018386,11.8669911871328,0.776418025682592,"index",0.1,1
2004,189670.538558826,41059.7901896798,876159.206635134,12.1530438384262,0.780758865868878,"index",0.1,1
2005,241623.57798824,50274.4949649648,1161263.84721565,12.395136331292,0.800975515129562,"index",0.1,1
2006,315895.856462199,69180.0062967531,1442471.56760767,12.6631678700919,0.774861532436435,"index",0.1,1
2007,190481.613928688,57134.5566270164,635049.038390912,12.157310954081,0.614371772197183,"index",0.1,1
2008,250507.633670785,54513.9397373025,1151156.47171608,12.4312446727784,0.778092333259597,"index",0.1,1
2009,146916.015952903,36243.471726838,595536.650190455,11.8976163824471,0.714095687327162,"index",0.1,1
2010,84080.8485828269,18873.2036796385,374583.415641052,11.3395340980644,0.762277118126427,"index",0.1,1
2011,192908.982447606,47023.270185646,791392.758565109,12.1699737631161,0.720205016904403,"index",0.1,1
2012,182369.289122549,41495.8957733244,801490.291877108,12.1137889714077,0.755339985216771,"index",0.1,1
2013,331448.133178365,90618.8759526596,1212306.63956607,12.7112266153663,0.661649301424192,"index",0.1,1
2014,112107.192063791,26509.9138524672,474087.64066044,11.627210764574,0.735695515986015,"index",0.1,1
2015,389737.667641125,101505.267290199,1496429.23597336,12.8732291447032,0.686422395877208,"index",0.1,1
2016,184495.224624577,37653.4211931058,903994.559610044,12.1253788593341,0.810831104258545,"index",0.1,1
2017,62979.2986961164,13854.3606016598,286291.960942568,11.0505613592503,0.772568304441692,"index",0.1,1
2018,216531.871502246,43373.8410514525,1080975.31230048,12.2854930280715,0.820362640914289,"index",0.1,1
2019,143969.467600227,18648.0081908818,1111497.13089614,11.8773565255225,1.04280584831775,"index",0.1,1
2021,163866.745200125,43512.1554992809,617122.040367004,12.006808847258,0.676549795256815,"index",0.1,1
2022,335195.903968479,91934.6941675656,1222131.59084924,12.722470427851,0.660030837346253,"index",0.1,1
2023,311894.034764581,74892.2290445676,1298904.9753592,12.6504187769387,0.727877336085132,"index",0.1,1
2024,584864.495354267,119669.028424181,2858437.82999146,13.2791354675101,0.809530361416163,"index",0.1,1
2003,376499.31829113,76622.5788812173,1849999.55291812,12.8386715155727,0.812272292946997,"index",0.1,10
2004,449692.31926559,108119.318323276,1870370.48644554,13.0163188929278,0.727221626834096,"index",0.1,10
2005,522552.454430064,158118.394605676,1726940.55180524,13.166480649036,0.609899617604359,"index",0.1,10
2006,419670.696493398,125865.847142333,1399295.34098387,12.9472256267588,0.614426450049602,"index",0.1,10
2007,327996.124075515,100758.018952153,1067721.04619929,12.7007570704535,0.602194739568996,"index",0.1,10
2008,72882.3624228562,20321.5361998243,261389.626261744,11.1966019466507,0.65162699799841,"index",0.1,10
2009,315722.148026082,88703.6755335859,1123746.83635811,12.6626178273786,0.64774721992107,"index",0.1,10
2010,248785.238479291,61356.7188337374,1008758.22667305,12.424345307216,0.714240342002817,"index",0.1,10
2011,217803.504192905,59767.2363665986,793718.587684607,12.2913485783915,0.659775223240796,"index",0.1,10
2012,157831.549625321,32034.6540618401,777620.323573408,11.969283601664,0.813642535773304,"index",0.1,10
2013,209959.32835187,49885.9272673603,883674.454434987,12.2546691164274,0.733265970440749,"index",0.1,10
2014,242852.289215885,58216.2279037366,1013072.06772169,12.4002086741898,0.728732395411926,"index",0.1,10
2015,346586.537547698,91609.9698739896,1311235.31832323,12.7558878140428,0.678886162388583,"index",0.1,10
2016,182529.902270864,32773.7426906286,1016581.0337108,12.1146692866426,0.876182600361153,"index",0.1,10
2017,669927.675751687,184737.381103678,2429411.35170787,13.4149250389012,0.657274580112727,"index",0.1,10
2018,200848.215047649,48869.1877016638,825469.122468209,12.2103047527559,0.721136916491224,"index",0.1,10
2019,87758.765775645,12303.1001501785,625988.643224427,11.3823470312181,1.00243703067158,"index",0.1,10
2021,160457.887552235,44368.8023392062,580289.129305046,11.9857868042717,0.655876823749462,"index",0.1,10
2022,721729.506094215,186846.614694516,2787813.31317472,13.489405702379,0.689483274213065,"index",0.1,10
2023,641720.610413098,168238.642725778,2447745.26920182,13.3719083016786,0.683058244632495,"index",0.1,10
2024,918132.409501727,220073.112509434,3830395.77968123,13.7300968961315,0.728779614158614,"index",0.1,10
2003,198613.516948493,48570.3099569329,812169.598045125,12.1991160894478,0.718558291674385,"index",0.1,2
2004,525149.469076885,132186.567131544,2086308.54750387,13.1714382040571,0.703823449768096,"index",0.1,2
2005,283197.05453441,83536.3238378564,960068.243518047,12.5538982400923,0.622899919311345,"index",0.1,2
2006,180028.114257616,52899.9484320553,612668.308453664,12.100868307996,0.624863862106558,"index",0.1,2
2007,200652.462418951,49903.1238968924,806791.389612704,12.2093296478298,0.709957313441209,"index",0.1,2
2008,141797.748090182,37310.4551446208,538899.921898853,11.8621570120668,0.681200347281456,"index",0.1,2
2009,208494.768698011,53093.4470041537,818746.399551647,12.2476692297288,0.697900803019058,"index",0.1,2
2010,200720.34562051,53752.4658212736,749522.027137811,12.2096679029425,0.672218006378023,"index",0.1,2
2011,236368.249963462,59443.4749626017,939883.639473291,12.373146249079,0.704280854443545,"index",0.1,2
2012,231957.6542283,50986.7394084171,1055261.70097108,12.3543101091107,0.77296789877919,"index",0.1,2
2013,256802.002081256,55564.5350234299,1186858.99639281,12.4560606470341,0.781014468469578,"index",0.1,2
2014,467060.92770604,112873.11456144,1932664.9312125,13.054214994321,0.724602808377184,"index",0.1,2
2015,281629.82321925,89649.1615680739,884730.609178973,12.5483488039767,0.584036077344582,"index",0.1,2
2016,650463.782406965,185843.650539978,2276661.75838576,13.3854408988389,0.639185157488965,"index",0.1,2
2017,469818.144832586,134390.247879677,1642448.70960843,13.060100972923,0.63858205496425,"index",0.1,2
2018,132101.09293039,35173.3446224502,496134.187428549,11.7913227639841,0.675154724649123,"index",0.1,2
2019,1505366.55084981,243393.150897879,9310567.87776356,14.2245469818922,0.929666910418165,"index",0.1,2
2021,103600.772696179,23134.972542652,463934.853756912,11.548300067237,0.764911684374656,"index",0.1,2
2022,754201.243066924,201688.228837728,2820291.09146149,13.5334145119977,0.672938972305343,"index",0.1,2
2023,369515.464563476,105719.63732767,1291545.09042025,12.8199478711698,0.638482106215777,"index",0.1,2
2024,531044.704972853,136554.977320693,2065164.40640184,13.1826014868363,0.692930544017863,"index",0.1,2
2003,456242.126641991,114438.746114665,1818937.07498541,13.0307789270549,0.705617015192505,"index",0.1,3
2004,202078.408838601,42671.5952089391,956975.784917139,12.2164110636351,0.793444326339466,"index",0.1,3
2005,804037.295241495,211186.465142183,3061161.95327202,13.5974009342015,0.682106508837518,"index",0.1,3
2006,273622.239991248,75983.8546755748,985329.456336401,12.5195037479447,0.653699557660193,"index",0.1,3
2007,250285.123720562,63060.1019974974,993379.984674034,12.4303560418564,0.70333562359551,"index",0.1,3
2008,415562.610494068,99714.3451904977,1731870.00236252,12.9373885690351,0.728239779474709,"index",0.1,3
2009,134926.478496121,31294.995727426,581727.33934614,11.8124853053377,0.745560548066679,"index",0.1,3
