"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,6351346.73028121,4135972.58916363,9753354.11891867,15.6641774318912,0.218853186846518,"index",0.1,1
2004,6782468.88140639,4314379.61855765,10662456.2960051,15.7298517354334,0.230814259883353,"index",0.1,1
2005,7144579.64219404,4801847.15560723,10630288.0140712,15.7818645351723,0.202735005525314,"index",0.1,1
2006,5434278.59997914,3672152.95967169,8041980.88328858,15.5082373374332,0.199977476619916,"index",0.1,1
2007,8168641.98177601,5620523.34604038,11871974.8532744,15.9158132329192,0.190757532415296,"index",0.1,1
2008,6196871.6179844,4223083.37746936,9093170.65693176,15.6395551449287,0.195656180712479,"index",0.1,1
2009,6587339.36490442,4443247.17004904,9766064.82775084,15.7006600867002,0.200903729912518,"index",0.1,1
2010,6289330.19531405,4326384.23895405,9142894.41736039,15.654365135775,0.190882300049981,"index",0.1,1
2011,6239559.66589069,4154466.76383323,9371143.64787653,15.646420171492,0.207516838413963,"index",0.1,1
2012,5299384.10381043,3624750.43943308,7747698.04127838,15.4831011649416,0.193781706363349,"index",0.1,1
2013,5684430.86634317,3785615.91654461,8535666.31866051,15.5532415686941,0.207413204857911,"index",0.1,1
2014,7177001.82049299,4975018.19192608,10353601.3626953,15.7863922800687,0.186969096229598,"index",0.1,1
2015,6735065.41872125,4625468.02451042,9806814.34918276,15.7228380810268,0.191712687423397,"index",0.1,1
2016,5853756.1557463,4023324.03503621,8516952.85603048,15.5825940910696,0.191317340888554,"index",0.1,1
2017,6457882.04445145,4333108.55080888,9624554.75348368,15.6808119651059,0.203583441191417,"index",0.1,1
2018,9053918.49938811,6158990.99895591,13309556.7451647,16.0187082053237,0.196577429554999,"index",0.1,1
2019,5973329.27454696,3589123.21890715,9941331.19593038,15.6028149973584,0.259900946883384,"index",0.1,1
2021,6841753.43185562,4754004.98764091,9846348.53013407,15.7385546064333,0.185746591905256,"index",0.1,1
2022,9535579.64896441,6466042.97270094,14062275.7420004,16.0705405868799,0.198200429574459,"index",0.1,1
2023,7075415.48316281,4813234.10470774,10400803.9439461,15.7721367253047,0.196563274203311,"index",0.1,1
2024,4591201.62928648,3137060.61612962,6719389.57519075,15.3396523406478,0.194317616907519,"index",0.1,1
2003,8447599.60561937,5480728.70986644,13020520.2400174,15.9493928886368,0.220740924686797,"index",0.1,10
2004,5745997.03357165,3718817.32935998,8878220.9465224,15.5640140022615,0.221992726502745,"index",0.1,10
2005,6358169.80659658,4353053.12369337,9286889.48670959,15.6652511276453,0.193301053614711,"index",0.1,10
2006,5685075.05477451,3883607.05748979,8322180.35964479,15.5533548873267,0.194432120488723,"index",0.1,10
