"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,616800.238016892,235412.651038156,1616066.64697061,13.3323004871211,0.49144029156993,"index",0.1,1
2004,607183.529823385,213635.671335172,1725703.56151047,13.3165863798989,0.532948061995156,"index",0.1,1
2005,219294.664234717,79291.0710398512,606501.452573992,12.2981716032149,0.51903545533663,"index",0.1,1
2006,510918.038897014,213479.807265289,1222772.52267697,13.1439644627735,0.445246413726366,"index",0.1,1
2007,164440.593189831,58375.7330781587,463218.314576349,12.0103046483383,0.528402105105449,"index",0.1,1
2008,230453.795667031,87326.5047228255,608165.322841098,12.3478056686879,0.495109285436275,"index",0.1,1
2009,165439.772562726,69683.7636961351,392778.990310544,12.0163624955595,0.441150897824233,"index",0.1,1
2010,200119.728149231,85575.9815442863,467980.674855559,12.2066711071624,0.433432032701584,"index",0.1,1
2011,195003.051672743,81067.5181556327,469068.142541136,12.1807704870272,0.447831108140384,"index",0.1,1
2012,380051.637105529,149159.888661335,968351.801297865,12.8480624095906,0.477196687854132,"index",0.1,1
2013,568684.021377614,221342.260174373,1461092.49953189,13.251080236149,0.48144495128576,"index",0.1,1
2014,638510.397455828,284491.995381573,1433065.02213667,13.3668932385129,0.4124733150601,"index",0.1,1
2015,527776.4610828,222219.61468914,1253480.67614437,13.176428103881,0.441338046761973,"index",0.1,1
2016,838235.682247,356376.056536235,1971622.52094411,13.6390545836541,0.436392096750056,"index",0.1,1
2017,228298.511658209,94110.6995766797,553818.116960088,12.3384093132597,0.452142129558703,"index",0.1,1
2018,614687.364647253,231100.567600358,1634961.61078403,13.3288690673678,0.499121832208962,"index",0.1,1
2019,296906.474787927,97938.4329616748,900090.517126104,12.6011724684896,0.5658665935152,"index",0.1,1
2021,445371.293685224,194113.121015655,1021855.64891748,13.006663581089,0.423715548607479,"index",0.1,1
2022,189738.007875006,72337.925926607,497671.327608998,12.153399493656,0.491996622055492,"index",0.1,1
2023,395641.535557481,156426.424291934,1000676.3586576,12.888263867045,0.473438710235885,"index",0.1,1
2024,398969.915295031,166396.732809045,956611.29051851,12.8966412927662,0.44618734173115,"index",0.1,1
2003,1196122.29829047,428223.385020782,3341033.21423755,13.9945954643606,0.524088813078847,"index",0.1,10
2004,495861.407434753,174640.886444242,1407909.34121647,13.1140517461674,0.532440742457822,"index",0.1,10
2005,265536.512388299,109515.591488019,643831.973633225,12.4895076333285,0.451888623563351,"index",0.1,10
2006,843259.22661336,337100.853180141,2109416.56350116,13.6450296945935,0.467810770843789,"index",0.1,10
2007,302295.685972455,99168.3569170485,921490.328149693,12.6191609099825,0.568677107884672,"index",0.1,10
2008,383189.713380395,153491.200992049,956630.448465614,12.8562854807217,0.466787637986793,"index",0.1,10
