term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-1.39508235461984,1.29033008286748,-3.92408284520869,1.133918135969
factor(Year)2004,-2.01276510135749,1.29926461976528,-4.55927696248456,0.533746759769584
factor(Year)2005,-1.74848743411209,1.27619894536033,-4.24979140412634,0.75281653590217
factor(Year)2006,-2.79715949168211,1.3112039143604,-5.36707194021644,-0.227247043147779
factor(Year)2007,-2.97338236042416,1.24332453190204,-5.41025366404729,-0.536511056801035
factor(Year)2008,-3.38593708008203,1.32000632301783,-5.97310193256213,-0.798772227601929
factor(Year)2009,-4.5965258238709,1.39003404423171,-7.32094248784961,-1.87210915989218
factor(Year)2010,-2.12929277832226,1.18996704183952,-4.46158532311739,0.202999766472878
factor(Year)2011,-2.43476932708614,1.21123141824744,-4.80873928379449,-0.0607993703777816
factor(Year)2012,-0.395660860237989,1.24823115723254,-2.84214897279453,2.05082725231855
factor(Year)2013,-1.44673934625863,1.19996065038936,-3.79861900388703,0.90514031136977
factor(Year)2014,-1.72874050826136,1.21379759692553,-4.10774008275665,0.650259066233943
factor(Year)2015,-2.98614609051806,1.24964792231218,-5.43541101160524,-0.536881169430886
factor(Year)2016,-2.99294688510575,1.22606244753858,-5.39598512507838,-0.589908645133111
factor(Year)2017,-3.24477244190856,1.29922180917397,-5.79120039581852,-0.698344487998603
factor(Year)2018,-2.41816602356574,1.22963006755939,-4.8281966702897,-0.00813537684178733
factor(Year)2019,-3.61496062167804,1.45698625477853,-6.47060120701386,-0.759320036342218
factor(Year)2021,-4.31551435779144,1.40768689940718,-7.07452998213837,-1.5564987334445
factor(Year)2022,-5.50297942937778,1.54188711019637,-8.52502263358921,-2.48093622516634
factor(Year)2023,-4.96147098088009,1.55197363299171,-8.00328340649963,-1.91965855526054
factor(Year)2024,-3.64432889491515,1.29560154528859,-6.18366126199522,-1.10499652783508
Pass,-0.133726144292254,0.292466837680519,-0.706950612818394,0.439498324233885
factor(Year)2003,-1.04611718063077,1.36817413245139,-3.72768920481483,1.63545484355329
factor(Year)2004,-1.44181551983634,1.40545626041787,-4.1964591721017,1.31282813242903
factor(Year)2005,-2.34613645893242,1.39202733747381,-5.07445990587627,0.382186988011432
factor(Year)2006,-2.98602927555055,1.37045299926031,-5.67206779660566,-0.29999075449545
factor(Year)2007,-3.34437579116855,1.36574724553878,-6.02119120440933,-0.667560377927763
factor(Year)2008,-4.82934839763751,1.43165817548927,-7.6353468597688,-2.02334993550622
factor(Year)2009,-4.99790987743655,1.43052940655128,-7.80169599310253,-2.19412376177058
factor(Year)2010,-2.48149447433827,1.3197835826224,-5.06822276366541,0.105233814988865
factor(Year)2011,-3.42364823633264,1.38045070443471,-6.12928189945762,-0.718014573207654
factor(Year)2012,-0.155867024585254,1.30965248312666,-2.72273872377695,2.41100467460644
factor(Year)2013,-0.490542564040435,1.3638954196374,-3.16372846520889,2.18264333712802
factor(Year)2014,-2.17657850322786,1.34781518238502,-4.81824771851878,0.465090712063059
factor(Year)2015,-4.10462416919607,1.37879662509037,-6.80701589637858,-1.40223244201356
factor(Year)2016,-4.20229650693731,1.39638215582838,-6.93915524101533,-1.46543777285929
factor(Year)2017,-3.15203278845701,1.35939138382585,-5.81639094164975,-0.487674635264278
factor(Year)2018,-2.65877013648592,1.35180694731561,-5.30826306727555,-0.00927720569628976
factor(Year)2019,-4.21413240057475,1.48419595935047,-7.12310302690154,-1.30516177424796
factor(Year)2021,-4.3376480497716,1.54704394979338,-7.36979847386723,-1.30549762567598
factor(Year)2022,-5.95445572140795,1.68734487048856,-9.26159089706392,-2.64732054575197
factor(Year)2023,-5.94106683256577,1.66243041931358,-9.1993705812242,-2.68276308390733
factor(Year)2024,-4.11149448377817,1.46341192317067,-6.97972914773918,-1.24325981981716
Pass,-0.212309638645449,0.315398895223666,-0.830480114047555,0.405860836756658
factor(Year)2003,-1.77071763671949,1.27236935847273,-4.26451575435837,0.723080480919386
factor(Year)2004,-2.85230871358597,1.33177710446562,-5.46254387377362,-0.242073553398325
factor(Year)2005,-3.05476034592648,1.36520167515157,-5.7305064608573,-0.379014230995659
factor(Year)2006,-3.30374516158787,1.25689584247339,-5.76721574515383,-0.840274578021902
factor(Year)2007,-4.30651484537957,1.32357634365315,-6.90067680972894,-1.71235288103019
factor(Year)2008,-4.42430488841179,1.2770160944067,-6.92721044112693,-1.92139933569666
factor(Year)2009,-5.27323057450639,1.38457190252834,-7.98694163746804,-2.55951951154474
factor(Year)2010,-2.62112039601016,1.20780276819543,-4.98837032210098,-0.253870469919335
factor(Year)2011,-2.61841898632418,1.22435309065099,-5.01810694836043,-0.218731024287925
factor(Year)2012,-1.95446910898341,1.25540531682402,-4.41501831595857,0.506080097991756
factor(Year)2013,-0.761932154214359,1.22955240423591,-3.17181058362138,1.64794627519267
factor(Year)2014,-2.82292966656526,1.25991571881424,-5.29231909899707,-0.353540234133457
factor(Year)2015,-3.93555965407087,1.27417314961533,-6.43289313738488,-1.43822617075686
factor(Year)2016,-3.93350374379136,1.26631498662052,-6.41543551065089,-1.45157197693183
factor(Year)2017,-3.45230811826667,1.28511016957361,-5.97107776679711,-0.933538469736233
factor(Year)2018,-3.22297944071478,1.24885162007013,-5.67068363808673,-0.775275243342831
factor(Year)2019,-4.34162506166055,1.42800624471796,-7.14046587100603,-1.54278425231507
factor(Year)2021,-4.64413079046495,1.37018335248723,-7.32964081355627,-1.95862076737363
factor(Year)2022,-6.46926684398881,1.60048233348222,-9.60615457550659,-3.33237911247104
factor(Year)2023,-6.24727176407435,1.58165635506985,-9.34726125593015,-3.14728227221854
factor(Year)2024,-3.76419557624442,1.28820493782893,-6.28903085909579,-1.23936029339305
Pass,0.0162625518797105,0.291590787767225,-0.555244890367713,0.587769994127134
