"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,177028.879501911,14289.7192277335,2193130.85710451,12.0840681592744,1.28409121624668,"index",0.7,10
2004,312524.638787032,29097.386585889,3356715.54421767,12.6524385891691,1.21126457772367,"index",0.7,10
2005,107593.444619282,10971.7819219718,1055102.02511955,11.5861150012413,1.16483417208581,"index",0.7,10
2006,32662.6589374702,2807.09157010587,380055.03640384,10.3939877758705,1.25210646590655,"index",0.7,10
2007,65483.3384293354,6364.72018592367,673724.450814735,11.0895510141399,1.18932056092083,"index",0.7,10
2008,90505.2015348055,6505.95326084421,1259030.17996672,11.4131626035591,1.34323370292815,"index",0.7,10
2009,9130.12645657304,515.540558246944,161692.824705144,9.11933482415827,1.46641411218533,"index",0.7,10
2010,45812.071813585,6156.29160834515,340910.739349663,10.7323029120879,1.0240356783624,"index",0.7,10
2011,35613.1524751804,3726.9349183952,340305.547853938,10.4804703001597,1.15161751993044,"index",0.7,10
2012,187553.02358415,23700.3042535064,1484206.121546,12.1418168768632,1.05541414456505,"index",0.7,10
2013,976830.543126159,119402.645981047,7991430.19104965,13.7920684698465,1.07237267933743,"index",0.7,10
2014,298620.669864785,35816.9815685456,2489721.37140685,12.6069293842795,1.08203619841746,"index",0.7,10
2015,78401.5751942383,8499.78482905782,723172.070418066,11.2695992978999,1.13359387595675,"index",0.7,10
2016,181233.97467273,18106.5543162767,1814025.62861721,12.1075441532093,1.17528429234025,"index",0.7,10
2017,168544.995319661,13035.4283687613,2179246.79141203,12.0349580276652,1.30590758761941,"index",0.7,10
2018,71101.1285064669,8084.20979925532,625338.851962846,11.1718584877676,1.10930122916743,"index",0.7,10
2019,52410.6732838453,2602.55412699624,1055454.96463365,10.8668655381904,1.53197556869642,"index",0.7,10
2021,30484.2975902971,1471.63756549964,631468.250987658,10.3249669969184,1.54637328590896,"index",0.7,10
2022,9217.41453998509,183.536877885438,462908.227386108,9.12884985856926,1.99821745335919,"index",0.7,10
2023,12474.0880796775,362.902455108376,428773.272898037,9.43140881812234,1.80476517251343,"index",0.7,10
2024,10413.4584037199,854.515022200861,126902.527291689,9.25085432581388,1.27569703475607,"index",0.7,10
2003,71221.9424928204,7523.09690440934,674265.552724378,11.173556231001,1.14686958238434,"index",0.7,2
2004,65335.6322653351,7798.9460256948,547348.940414137,11.0872928366602,1.08448368173583,"index",0.7,2
2005,23141.2104940541,3507.51635836467,152676.586055836,10.0493703111363,0.962623216665267,"index",0.7,2
2006,20512.2435307183,3226.93157524695,130387.684043563,9.92877723224734,0.943634811066302,"index",0.7,2
2007,10251.5776985318,1748.58244500159,60102.8825432015,9.23518689452979,0.90237688102604,"index",0.7,2
2008,5913.69252228968,714.665789156297,48934.4247042678,8.68502570756432,1.07818853742767,"index",0.7,2
2009,6928.55398644693,752.05268707437,63831.7782359876,8.84340641044706,1.13298001589234,"index",0.7,2
