"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,798136.442441289,480074.237517774,1326923.48593118,13.5900348423193,0.259361301487397,"index",0.1,1
2004,1200822.85657629,746300.373406996,1932165.09633134,13.9985175935775,0.242674943960979,"index",0.1,1
2005,973801.271738744,626327.133859158,1514047.31740911,13.7889625286846,0.225174768786663,"index",0.1,1
2006,872146.525662415,565152.76183901,1345900.81405582,13.6787127227915,0.221361911593067,"index",0.1,1
2007,1060752.53085287,700504.468234887,1606265.17421938,13.8744891489706,0.211704464402501,"index",0.1,1
2008,782275.424470022,500348.299671231,1223057.6982711,13.5699621627224,0.22801563294704,"index",0.1,1
2009,919808.535072655,600099.546906745,1409845.65903027,13.731920813315,0.217896851542155,"index",0.1,1
2010,1032010.67571793,690072.968027374,1543381.76416371,13.8470195696581,0.20534405279185,"index",0.1,1
2011,621545.088613854,405167.371806261,953478.30072736,13.3399637353527,0.218324527537267,"index",0.1,1
2012,1116821.09793913,711187.140899174,1753813.1570053,13.9259969022329,0.230262404628272,"index",0.1,1
2013,1355684.25937704,855131.807744755,2149235.70200215,14.1198168733023,0.235109410068152,"index",0.1,1
2014,1255293.68410372,837608.264212657,1881263.95198823,14.0428801144097,0.206419256972384,"index",0.1,1
2015,1077369.39497371,714055.202328747,1625539.32726845,13.8900328824521,0.209859636798148,"index",0.1,1
2016,1141073.49347119,733481.381633872,1775162.60140393,13.9474800382258,0.225474829323822,"index",0.1,1
2017,959897.842331858,622269.616810431,1480714.85867524,13.774582143544,0.221153756712221,"index",0.1,1
2018,870801.574261272,566484.481360201,1338598.6848486,13.6771694161742,0.219373648894942,"index",0.1,1
2019,430169.969605055,234247.589025943,789959.903192514,12.9719356877192,0.310108647290279,"index",0.1,1
2021,1235770.32432959,814903.837785032,1873998.16234085,14.027205077993,0.212442517548048,"index",0.1,1
2022,1839043.45418354,1158243.97357471,2920007.27267948,14.4247561325534,0.235892361277315,"index",0.1,1
2023,978537.092247684,659244.245424994,1452473.56734568,13.7938139723534,0.201516252473905,"index",0.1,1
2024,708535.008075738,453632.859775456,1106669.95754537,13.4709547484317,0.227509934361721,"index",0.1,1
2003,836006.404541146,475677.339182358,1469287.37373776,13.6363915529719,0.287707586933766,"index",0.1,10
2004,812194.981745595,476950.729064054,1383079.31653069,13.6074957156208,0.271600523607141,"index",0.1,10
