term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-5.93802223507228,1.63885766197056,-9.1501242283221,-2.72592024182246
factor(Year)2004,-5.46841358007468,1.61912481460225,-8.64183990317019,-2.29498725697918
factor(Year)2005,-7.07957121287086,1.70743510039204,-10.4260825155788,-3.73305991016293
factor(Year)2006,-6.37596225181103,1.64402652773312,-9.59819503579638,-3.15372946782568
factor(Year)2007,-6.67885508975435,1.64169791695934,-9.89652388048907,-3.46118629901962
factor(Year)2008,-7.55417670187472,1.76489157189202,-11.0133006194014,-4.09505278434807
factor(Year)2009,-6.36848808873136,1.62898434272083,-9.56123873184383,-3.17573744561889
factor(Year)2010,-6.32592390592659,1.63229814407217,-9.5251694803396,-3.12667833151357
factor(Year)2011,-5.7774981652028,1.59937186546043,-8.91220941939188,-2.64278691101371
factor(Year)2012,-4.64253911916075,1.54507751146381,-7.67083539495258,-1.61424284336892
factor(Year)2013,-4.85977658349555,1.59471014764443,-7.98535103865918,-1.73420212833193
factor(Year)2014,-5.44511511450105,1.56575833289305,-8.51394505546491,-2.37628517353718
factor(Year)2015,-5.26201102362044,1.58362239729035,-8.36585388742052,-2.15816815982037
factor(Year)2016,-5.44495989778915,1.57342619060213,-8.52881856370138,-2.36110123187693
factor(Year)2017,-5.76471367308069,1.60007044709528,-8.90079412211435,-2.62863322404703
factor(Year)2018,-6.7159206370494,1.64076484307793,-9.93176063658165,-3.50008063751715
factor(Year)2019,-6.25880899977332,1.89868989649207,-9.98017281470787,-2.53744518483877
factor(Year)2021,-4.39850065425385,1.51366867218749,-7.36523673626788,-1.43176457223981
factor(Year)2022,-4.5885119612854,1.54666332970037,-7.61991638370691,-1.55710753886389
factor(Year)2023,-5.94891926161055,1.61120859011556,-9.1068300698186,-2.79100845340249
factor(Year)2024,-5.26533715416208,1.5752876326981,-8.35284417954171,-2.17783012878245
Pass,0.469523726816567,0.279712857867105,-0.0787034006157303,1.01775085424886
factor(Year)2003,-3.79091822501722,1.43489304525428,-6.60325691538262,-0.978579534651833
factor(Year)2004,-4.77536567027124,1.45777289380202,-7.63254803976194,-1.91818330078054
factor(Year)2005,-5.35238513322004,1.45784499231901,-8.20970881320737,-2.4950614532327
factor(Year)2006,-4.79249404976089,1.42849238747933,-7.59228768141001,-1.99270041811178
factor(Year)2007,-3.35810132114137,1.32715984380287,-5.9592868167228,-0.756915825559937
factor(Year)2008,-5.32631343225366,1.51387734049515,-8.29345849663544,-2.35916836787188
factor(Year)2009,-5.95430277563155,1.68492235040466,-9.25668989917125,-2.65191565209185
factor(Year)2010,-4.04933268417022,1.36124621099565,-6.7173262318133,-1.38133913652713
factor(Year)2011,-4.16878781860964,1.38184197500506,-6.87714832194526,-1.46042731527402
factor(Year)2012,-5.26508069614211,1.43119841303626,-8.07017804042406,-2.45998335186016
factor(Year)2013,-3.61279807801104,1.35601024663534,-6.27052932408358,-0.955066831938502
factor(Year)2014,-4.17825066632184,1.35874175574275,-6.84133557186835,-1.51516576077533
factor(Year)2015,-3.6571099852541,1.33363996551496,-6.27099628600667,-1.04322368450154
factor(Year)2016,-4.61272293364857,1.4427876663587,-7.44053479705023,-1.78491107024692
factor(Year)2017,-3.07749126458542,1.31504935985933,-5.65494064780216,-0.500041881368682
factor(Year)2018,-4.23840509530752,1.43173044398116,-7.04454520108014,-1.43226498953489
factor(Year)2019,-4.51719737252693,1.78540920948195,-8.01653512077769,-1.01785962427618
factor(Year)2021,-4.66568665776384,1.49929998213667,-7.60426062477326,-1.72711269075442
factor(Year)2022,-4.15384544226696,1.41435019947927,-6.92592089477336,-1.38176998976055
factor(Year)2023,-4.57851387443146,1.38061766855385,-7.28447478121666,-1.87255296764627
factor(Year)2024,-3.91463778390854,1.3549549280298,-6.57030064352201,-1.25897492429506
Pass,-0.154899739695744,0.304111859785996,-0.75094803214779,0.441148552756302
factor(Year)2003,-4.4906751056692,2.40850257555488,-9.21125341042873,0.229903199090334
factor(Year)2004,-4.7706805891121,2.42427671112816,-9.52217563148251,-0.0191855467416957
factor(Year)2005,-4.77521514385896,2.39694867315973,-9.47314821604309,-0.0772820716748299
factor(Year)2006,-4.84264455891831,2.41150007851684,-9.56909786152683,-0.116191256309794
factor(Year)2007,-6.08174690311605,2.46572731956446,-10.9144836451589,-1.24901016107321
factor(Year)2008,-5.03597616209146,2.43688237234707,-9.81217784645225,-0.259774477730669
factor(Year)2009,-4.79118376437061,2.41617455797993,-9.52679887837326,-0.055568650367956
factor(Year)2010,-3.82513099391225,2.38934438231698,-8.50815992991662,0.85789794209213
factor(Year)2011,-4.76929565367829,2.40285246397327,-9.47879994322923,-0.0597913641273529
factor(Year)2012,-4.01699416233328,2.38777840709868,-8.69695384330912,0.662965518642558
factor(Year)2013,-4.26303353239023,2.39773383545359,-8.96250549439236,0.436438429611898
factor(Year)2014,-4.45793925667345,2.39417071524502,-9.15042763139419,0.234549118047301
factor(Year)2015,-3.62582825274942,2.3834993469615,-8.29740112996871,1.04574462446986
