"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,2215.38395190069,245.216034100024,20014.7028409128,7.70318100917318,1.12300094934681,"index",0.1,1
2004,396.569608550803,57.9639990731395,2713.19192845365,5.98285158317166,0.981155514155809,"index",0.1,1
2005,2965.05265360533,173.665328244325,50623.4452641201,7.99465006965706,1.44774090025633,"index",0.1,1
2006,13729.828870422,1393.23137252418,135302.868230381,9.52732603476751,1.16734031658524,"index",0.1,1
2007,11050.906919969,1104.32829951388,110585.361081099,9.31026777778333,1.17516201347202,"index",0.1,1
2008,281.37340475382,9.26015629561831,8549.63894510279,5.63968262974417,1.74184920211847,"index",0.1,1
2009,1341.94934487276,157.479383456726,11435.3257212191,7.20187857082277,1.09317519950007,"index",0.1,1
2010,699.861596767673,86.5556602856856,5658.85873914592,6.55088259659112,1.06639455345501,"index",0.1,1
2011,1021.05320670031,136.192155323454,7654.99046870174,6.92858992914801,1.02783681216887,"index",0.1,1
2012,11541.4546331806,2191.98876935756,60769.0955865647,9.35370058352041,0.847533971050859,"index",0.1,1
2013,12556.6564870537,2427.57160156115,64949.5248801193,9.43800620132375,0.838464134314289,"index",0.1,1
2014,6882.97897708602,1172.35619263367,40410.4144258242,8.83680682806943,0.903096179031239,"index",0.1,1
2015,7012.73971009861,1060.45434891831,46374.9507857244,8.85548373250499,0.963809039900912,"index",0.1,1
2016,50330.9266039115,7112.50455361072,356161.764637793,10.8263750101694,0.998367983770764,"index",0.1,1
2017,20213.0285419524,2478.56077455178,164840.22785831,9.91408265280519,1.0707591218514,"index",0.1,1
2018,14114.1079525867,1728.83414009794,115226.810182026,9.55493014014898,1.07130927091267,"index",0.1,1
2019,410.515408769775,15.7327870765109,10711.5732271634,6.01741346477698,1.66414618171417,"index",0.1,1
2021,9937.5781883131,1981.849351816,49829.9530982741,9.20407862693799,0.822613545871183,"index",0.1,1
2022,16361.4147153882,2595.54881787605,103136.527290586,9.70268108046381,0.93936818800568,"index",0.1,1
2023,1752.60135123197,160.313057433486,19160.083061946,7.46885644960854,1.22029177880165,"index",0.1,1
2024,13741.085052064,2079.46964053216,90800.7574276172,9.52814553296868,0.963424526263875,"index",0.1,1
2003,675762.415835562,72558.1127304975,6293642.7846748,13.4235968373855,1.13851773824125,"index",0.1,10
2004,267344.277211847,31943.454600186,2237483.81170736,12.4962925345441,1.08398418355037,"index",0.1,10
2005,258126.356751184,15978.2102710818,4170004.95795379,12.4612044988625,1.41952775959931,"index",0.1,10
2006,1058916.06903869,77548.0057813184,14459472.2968166,13.8727563665217,1.33375099447279,"index",0.1,10
2007,332242.281626609,42811.6412009676,2578385.9390553,12.713619745686,1.04545513416813,"index",0.1,10
2008,13552.9096357853,1074.88062039232,170885.357974655,9.51435653652425,1.29308072644083,"index",0.1,10
2009,15847019.6889859,285292.215600477,880248458.565679,16.5784920083666,2.04964110982965,"index",0.1,10
2010,312422.249013776,38175.9909388634,2556781.3507484,12.652110914046,1.07254461973871,"index",0.1,10
2011,140303.575284189,18809.2682448002,1046563.48037186,11.8515637489033,1.02525288508946,"index",0.1,10
2012,6244.97480863465,201.849779981867,193211.557446259,8.73953238870601,1.75105698802988,"index",0.1,10
2013,654219.74085331,101796.236952641,4204511.70038134,13.3911985691941,0.949236907696118,"index",0.1,10
2014,126229.44502884,19989.9434106501,797094.442188358,11.7458565222296,0.940258055841044,"index",0.1,10
2015,163902.871241341,30431.6229055562,882770.901983367,12.0070292828295,0.859093188559391,"index",0.1,10
2016,263491.116474759,19872.8297595271,3493592.47279976,12.481774932827,1.31873147371243,"index",0.1,10
2017,153273.558927278,17703.4515535022,1327017.15229007,11.9399795707095,1.10127771997914,"index",0.1,10
2018,534820.956871165,27944.2187498693,10235872.3451492,13.1896873098131,1.50600812999025,"index",0.1,10
2019,61887043.7718651,1856635.28660019,2062874822.24585,17.9408214067299,1.78908643862291,"index",0.1,10
2021,61230.0292657558,2231.32791926755,1680217.61907411,11.0223930224362,1.68984781447128,"index",0.1,10
2022,417082.733342389,26722.2206213669,6509863.41731132,12.9410398824027,1.40195900169209,"index",0.1,10
2023,2271413.04370786,142628.825276669,36173033.0816249,14.6359126820083,1.41222583502377,"index",0.1,10
2024,2144024.44128237,222023.654241811,20704284.0570925,14.5781952009597,1.15698860439763,"index",0.1,10
2003,150823.319729363,23195.82594342,980679.620103742,11.9238643627156,0.955189356665285,"index",0.1,2
2004,71855.8287895289,10810.7286320901,477605.192651279,11.1824170126361,0.966406890989505,"index",0.1,2
2005,196988.294106848,33847.7798347559,1146438.20671749,12.1908995851772,0.898624113105431,"index",0.1,2
