term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-0.781735006824047,0.49351562796818,-1.74900786344935,0.185537849801254
factor(Year)2004,-1.31373086581006,0.532814261366372,-2.35802762853746,-0.26943410308266
factor(Year)2005,-0.779065338228952,0.469333952137729,-1.69894298114075,0.140812304682843
factor(Year)2006,-0.141218545622192,0.479480157152481,-1.08098238494266,0.798545293698276
factor(Year)2007,-0.986538026551641,0.466543231316597,-1.90094595716311,-0.0721300959401708
factor(Year)2008,-0.403632790848892,0.47585224295974,-1.33628604901259,0.529020467314802
factor(Year)2009,-1.43765764545561,0.472150054787931,-2.36305474813856,-0.512260542772648
factor(Year)2010,-1.3727348644026,0.459748611812829,-2.27382558549803,-0.471644143307167
factor(Year)2011,-1.68700380106053,0.480949821903578,-2.62964813036249,-0.744359471758562
factor(Year)2012,-2.25511493737371,0.494300892241665,-3.22392688369339,-1.28630299105403
factor(Year)2013,-1.52250554094249,0.510417130699352,-2.52290473420549,-0.522106347679487
factor(Year)2014,-2.06510227138277,0.482268508308169,-3.01033117854463,-1.1198733642209
factor(Year)2015,-2.36908728345815,0.504905626338075,-3.35868412667241,-1.37949044024388
factor(Year)2016,-2.29165854832418,0.519574937120664,-3.31000671235034,-1.27331038429801
factor(Year)2017,-3.12146179675762,0.580452370282346,-4.25912753725192,-1.98379605626331
factor(Year)2018,-2.13016376805897,0.513556259957412,-3.13671554161058,-1.12361199450735
factor(Year)2019,-3.02535423687136,0.692826334212002,-4.3832688994678,-1.66743957427493
factor(Year)2021,-2.61090592845906,0.522341225355312,-3.63467591779599,-1.58713593912213
factor(Year)2022,-1.70989033181799,0.492326962821917,-2.67483344756694,-0.744947216069048
factor(Year)2023,-1.9261538117271,0.488832522804353,-2.88424795089548,-0.96805967255871
factor(Year)2024,-2.79623375077802,0.547755329150281,-3.86981446825245,-1.72265303330358
Pass,0.209407944393004,0.161586175997815,-0.107295140962263,0.526111029748271
factor(Year)2003,-0.508554264508525,0.528126399525041,-1.54366298686242,0.526554457845366
factor(Year)2004,-1.04953430279271,0.534794965933733,-2.09771317513615,-0.00135543044926534
factor(Year)2005,-0.145939307116279,0.474120184667857,-1.07519779340876,0.783319179176199
factor(Year)2006,-0.147485551533654,0.488101973330378,-1.10414784004412,0.809176736976816
factor(Year)2007,-0.845892872257809,0.484121296656941,-1.79475317785425,0.102967433338627
factor(Year)2008,-0.376909710432807,0.487765156118215,-1.33291184933807,0.579092428472451
factor(Year)2009,-0.417182375667662,0.476516096780532,-1.35113676341111,0.516772012075784
factor(Year)2010,-0.0496319560504631,0.507511263695364,-1.04433575464179,0.945071842540859
factor(Year)2011,-1.12878329520364,0.505103473274598,-2.11876791128794,-0.138798679119339
factor(Year)2012,-2.05293186196599,0.531495346965551,-3.09464359996909,-1.01122012396289
factor(Year)2013,-2.25611778280274,0.565384810356391,-3.36425164850727,-1.1479839170982
factor(Year)2014,-1.38045275535277,0.508075899760913,-2.37626322029694,-0.384642290408599
factor(Year)2015,-1.55567482311519,0.49866001834506,-2.53303049960159,-0.578319146628787
factor(Year)2016,-1.72124409287546,0.539175020565413,-2.77800771454731,-0.664480471203605
factor(Year)2017,-1.46166397446789,0.487249820638812,-2.41665607439356,-0.506671874542215
factor(Year)2018,-1.50777021533082,0.532074352284838,-2.55061678290658,-0.464923647755062
factor(Year)2019,-2.39483253618427,0.648248298440132,-3.6653758541663,-1.12428921820224
factor(Year)2021,-2.89843445227042,0.632558826987403,-4.13822697126863,-1.65864193327221
factor(Year)2022,-1.46635909015171,0.513633758535875,-2.47306275812596,-0.459655422177449
factor(Year)2023,-1.83963568566373,0.51161130385952,-2.84237541531196,-0.836895956015491
factor(Year)2024,-1.85936358992644,0.503206554477097,-2.84563031348604,-0.873096866366841
Pass,0.0293582259233427,0.158961304000161,-0.282200204852495,0.340916656699181
factor(Year)2003,-1.21511629247666,0.548075825205572,-2.28932517067665,-0.140907414276673
factor(Year)2004,-1.45293927208048,0.564541139420309,-2.55941957313549,-0.346458971025466
factor(Year)2005,-1.01215080554332,0.511826101760638,-2.0153115313417,-0.00899007974493604
factor(Year)2006,-0.513953240412934,0.525380263152055,-1.54367963437914,0.515773153553269
factor(Year)2007,-1.78236236893988,0.53507784465821,-2.83109567339529,-0.733629064484474
factor(Year)2008,-0.703370980185,0.521999217187048,-1.72647064582972,0.319728685459716
factor(Year)2009,-1.17594179470321,0.521572333096986,-2.19820478290583,-0.153678806500594
factor(Year)2010,-1.54574502594461,0.518587464615892,-2.56215777942569,-0.52933227246352
factor(Year)2011,-1.57517770260487,0.529479095375607,-2.6129376601079,-0.537417745101828
