"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,714114.473766085,301068.988538535,1693829.32502509,13.4787985558741,0.440673322272895,"index",0.1,1
2004,251682.34906385,92809.9671832788,682512.95364869,12.4359230517826,0.508995951789232,"index",0.1,1
2005,280516.326435806,122840.854285248,640580.12177541,12.5443872070133,0.421304822201375,"index",0.1,1
2006,360879.141098773,166045.25512818,784326.865466,12.7962983920605,0.396069900643782,"index",0.1,1
2007,262252.341308472,116664.350107088,589522.767311904,12.4770624539917,0.413276045889383,"index",0.1,1
2008,235494.818913049,107441.718850709,516166.441938151,12.3694441918274,0.400385093149664,"index",0.1,1
2009,98973.3312349973,40163.7027415728,243894.850999709,11.5026057113623,0.460154762342819,"index",0.1,1
2010,88455.331894852,38268.7725145345,204457.713862046,11.3902529792279,0.427489220354986,"index",0.1,1
2011,129456.005853637,52279.877387944,320560.381716611,11.7710963792648,0.462625621683467,"index",0.1,1
2012,65389.993239414,22308.296979849,191670.893556463,11.0881245171666,0.548688943022598,"index",0.1,1
2013,152140.119845172,58195.7804402505,397737.016178824,11.9325572162805,0.490309563745099,"index",0.1,1
2014,147393.725373884,51129.9242989397,424896.194889191,11.9008626891331,0.540182110473389,"index",0.1,1
2015,59082.8168072068,19163.1431816289,182161.100023532,10.9866954133559,0.574475518438811,"index",0.1,1
2016,261524.024456159,82325.6266196701,830784.024076948,12.4742814299924,0.589727015577005,"index",0.1,1
2017,18161.8045892697,4501.30195816375,73279.053261598,9.80707601887407,0.71172433367583,"index",0.1,1
2018,103696.661963335,31221.0979109003,344414.463995643,11.5492252043392,0.612447908965421,"index",0.1,1
2019,17241.485025395,2589.24908064616,114808.887295901,9.75507367887197,0.967339456961325,"index",0.1,1
2021,16800.6813663047,4819.24522778966,58569.9380360353,9.72917472208706,0.637155646174854,"index",0.1,1
2022,106690.480466219,36754.2128358594,309702.146878983,11.5776872155611,0.543723808655022,"index",0.1,1
2023,60416.950335772,22588.9384577081,161592.714713408,11.0090249792506,0.501952775838476,"index",0.1,1
2024,19553.6507694907,5438.72477144647,70300.5344970816,9.88091728810715,0.652878013496216,"index",0.1,1
2003,211401.998477922,87978.3611092666,507974.965627678,12.2615168059115,0.447289157397463,"index",0.1,10
2004,156976.616190555,61548.7383698562,400360.083460379,11.9638521317761,0.47769627677105,"index",0.1,10
2005,326035.552002209,160416.093846875,662646.612445588,12.6947617096243,0.361861447523346,"index",0.1,10
2006,412830.9539269,176748.774023169,964246.555384045,12.9307934756263,0.432818579730315,"index",0.1,10
2007,173088.980003935,76544.742441685,391402.388238843,12.0615610765377,0.416298649163569,"index",0.1,10
2008,334704.389543028,150924.903905132,742269.999719786,12.7210030019716,0.406367331897769,"index",0.1,10
2009,184239.719713935,82941.2364135742,409256.912339856,12.1239930131839,0.40720410092457,"index",0.1,10
2010,232085.41612472,107694.185289377,500153.654842658,12.3548607558408,0.391746935196404,"index",0.1,10
2011,191820.900055599,70776.0647752094,519882.785444553,12.1643174034594,0.508703862390758,"index",0.1,10
2012,120102.636982926,43872.4347646599,328786.024473659,11.6961019643876,0.513815804869175,"index",0.1,10
2013,191605.671338993,57253.2762380488,641233.754669712,12.1631947439712,0.616314690910042,"index",0.1,10
2014,196863.4399322,80697.6576716739,480252.030853461,12.1902655690334,0.455008738612106,"index",0.1,10
2015,126769.464904876,57052.6430149717,281678.40056159,11.7501254789321,0.407352279413077,"index",0.1,10
2016,185211.769689571,54770.346394976,626313.359133494,12.1292551504145,0.621619048986813,"index",0.1,10
2017,98409.2108363726,38511.072093577,251469.830647815,11.4968896847203,0.478676458518482,"index",0.1,10
2018,65513.5039739872,21469.498195113,199912.413599244,11.0900115679155,0.569205892807487,"index",0.1,10
2019,263482.697637894,65237.7456142633,1064155.90086491,12.4817429811943,0.712232210048895,"index",0.1,10
2021,49636.3492843978,10993.9386605401,224102.320956711,10.8124786927865,0.769085215661748,"index",0.1,10
2022,182886.587359626,66559.6864373148,502518.951430918,12.1166214985004,0.515706993581015,"index",0.1,10
2023,46037.094823255,16454.5348671607,128804.254685753,10.7372027596992,0.524931260879011,"index",0.1,10
2024,65144.9553528393,24403.0113734188,173907.438839539,11.0843701482863,0.500982842247094,"index",0.1,10
2003,541998.122512259,213308.321877179,1377170.67117503,13.2030178164163,0.475786241572883,"index",0.1,2
2004,728151.207786862,273753.938180293,1936791.06472717,13.4982640086155,0.499131142345426,"index",0.1,2
2005,747858.233775199,309492.189210016,1807127.79619079,13.5249687119556,0.450151423662788,"index",0.1,2
2006,579081.90251029,241871.43346248,1386421.88957364,13.2691992016641,0.44543553415663,"index",0.1,2
2007,181686.4945506,71076.1147661239,464431.439601119,12.1100379233367,0.478851300319891,"index",0.1,2
2008,175991.869551246,72296.0041035775,428421.162859404,12.0781930772217,0.453921064823997,"index",0.1,2
2009,143783.960049466,51806.1524400172,399061.234887946,11.8760671745808,0.520827417475437,"index",0.1,2
2010,203922.698089181,77995.010115934,533168.297999564,12.2254962700785,0.490364183682335,"index",0.1,2
2011,216456.681135891,72637.8015895951,645029.086550387,12.2851457192724,0.557104609844093,"index",0.1,2
2012,341090.625483055,114967.567470403,1011962.04592546,12.7399034848366,0.554856185032714,"index",0.1,2
2013,74419.2634978595,20743.6540085979,266984.147405677,11.2174701052897,0.65178465900096,"index",0.1,2
2014,240453.594638975,85820.9240239081,673704.365600837,12.3902823962259,0.52565469511956,"index",0.1,2
