term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-3.98319459159909,3.87374029700812,-11.5755860591965,3.60919687599831
factor(Year)2004,-5.00143224943096,3.89194188961399,-12.6294981829971,2.62663368413522
factor(Year)2005,-4.91526768701247,3.88621458439365,-12.5321083086183,2.70157293459338
factor(Year)2006,-3.57152101281299,3.86288529194184,-11.1426370614285,3.99959503580251
factor(Year)2007,-4.25726581244708,3.87968451984317,-11.8613077427173,3.3467761178231
factor(Year)2008,-4.49405078269409,3.88273221407668,-12.1040660838979,3.11596451850967
factor(Year)2009,-4.21256485400562,3.87726319301556,-11.8118610708989,3.38673136288764
factor(Year)2010,-3.18884502520216,3.87003144203432,-10.773967270627,4.39627722022271
factor(Year)2011,-3.4169395716461,3.87023928019582,-11.0024691723821,4.16859002908993
factor(Year)2012,-4.3751124054683,3.86465049831417,-11.9496881949989,3.19946338406225
factor(Year)2013,-3.3711825005314,3.86672680563377,-10.9498277776292,4.20746277656641
factor(Year)2014,-3.92416183631828,3.87701355695692,-11.5229687755274,3.67464510289081
factor(Year)2015,-4.06700282519138,3.87866478702858,-11.6690461158711,3.53504046548836
factor(Year)2016,-3.60484464967879,3.85189150427487,-11.1544132704133,3.94472397105577
factor(Year)2017,-4.07649510059066,3.88172128758125,-11.6845290222724,3.53153882109104
factor(Year)2018,-4.81176587529945,3.87407445498497,-12.4048122804966,2.78128052989773
factor(Year)2019,-4.79781423103457,3.92199118025521,-12.4847756920185,2.88914722994938
factor(Year)2021,-4.45232972546537,3.88676284651057,-12.0702449210745,3.16558547014372
factor(Year)2022,-4.65793964944707,3.87757002389918,-12.2578372438216,2.94195794492744
factor(Year)2023,-4.57906849896653,3.8818569789375,-12.1873683708195,3.02923137288642
factor(Year)2024,-3.35916590691238,3.87679303664274,-10.9575406342478,4.23920882042306
Pass,0.1757570382558,0.222774206220404,-0.260872382620691,0.612386459132291
factor(Year)2003,-3.02607189547492,2.04914940932942,-7.0423309367021,0.990187145752257
factor(Year)2004,-2.63172539953309,2.0670333982579,-6.68303641496002,1.41958561589384
factor(Year)2005,-1.91790078959503,2.03714423811427,-5.91063012761228,2.07482854842223
factor(Year)2006,-3.3384718027853,2.04142383442738,-7.33958899544462,0.662645389874028
factor(Year)2007,-2.48206758694903,2.02479906642644,-6.45060083307517,1.48646565917712
factor(Year)2008,-2.46357919891979,2.04557900954757,-6.47284038516415,1.54568198732457
factor(Year)2009,-1.35211677875092,2.03537696690118,-5.3413823288396,2.63714877133777
factor(Year)2010,-2.28512079015655,2.04300513831799,-6.28933728149007,1.71909570117698
factor(Year)2011,-2.09102851218741,2.04354004837534,-6.09629340796832,1.9142363835935
factor(Year)2012,-2.60386145177772,2.02615765759541,-6.57505748766475,1.36733458410931
factor(Year)2013,-1.37770156382667,2.04661697696856,-5.38899712883329,2.63359400117994
factor(Year)2014,-1.24117698621838,2.037197865613,-5.23401143220172,2.75165745976496
factor(Year)2015,-1.77808003270061,2.03172852667365,-5.7601947713436,2.20403470594237
factor(Year)2016,-1.95505548576463,2.03758217056744,-5.94864315561776,2.0385321840885
factor(Year)2017,-1.33115278062182,2.02820563009007,-5.30636276883972,2.64405720759607
factor(Year)2018,-0.5787338429646,2.02816558383938,-4.55386534197344,3.39639765604424
factor(Year)2019,-2.74443409256505,2.07751448490704,-6.81628766034312,1.32741947521302
factor(Year)2021,-2.87981976958344,2.0417170520362,-6.88151165819569,1.12187211902881
factor(Year)2022,-2.49549484631781,2.0487573841574,-6.51098553232681,1.51999583969119
factor(Year)2023,-2.74994605127659,2.03635014371565,-6.74111899287224,1.24122689031905
factor(Year)2024,-2.46115788168264,2.0297034027663,-6.43930345040298,1.5169876870377
Pass,0.0681420304766026,0.207467131896235,-0.338486076015839,0.474770136969044
factor(Year)2003,-1.97828269435567,5.10675917924064,-11.9873467633866,8.03078137467531
factor(Year)2004,-1.84934054566985,5.10529920690898,-11.8555431215124,8.15686203017265
factor(Year)2005,-1.99261179390479,5.09997199222111,-11.9883732208211,8.00314963301158
factor(Year)2006,-2.45941800080202,5.10117644931563,-12.4575401202446,7.53870411864052
factor(Year)2007,-1.98296820369548,5.10021465725419,-11.979205245337,8.01326883794602
factor(Year)2008,-1.60352032340288,5.1029860950535,-11.6051892833164,8.39814863651066
factor(Year)2009,-2.9085916847343,5.10198380512619,-12.9082961924882,7.09111282301965
factor(Year)2010,-1.75182781134677,5.09415662520034,-11.7361913283455,8.232535705652
factor(Year)2011,-0.823804458835121,5.09084400821735,-10.8016753658527,9.15406644818242
factor(Year)2012,-1.5637288464113,5.09589375374771,-11.5514970727994,8.42403937997683
factor(Year)2013,-1.20559395114142,5.10165452613662,-11.204653083935,8.79346518165211
factor(Year)2014,-1.37439060467749,5.09872843843294,-11.3677147109562,8.61893350160123
factor(Year)2015,-0.527111219793915,5.09325155088501,-10.5097008237313,9.45547838414348
factor(Year)2016,-1.42366680886173,5.09926120658226,-11.4180351215252,8.57070150380175
factor(Year)2017,-1.530254372263,5.09161804697232,-11.5096423673629,8.44913362283692
factor(Year)2018,-1.65892370899936,5.09757673322413,-11.649990514548,8.33214309654927
factor(Year)2019,-1.21074514810207,5.12480583421224,-11.2551800109188,8.83368971471466
factor(Year)2021,-2.59705056431473,5.10234135126427,-12.5974558496221,7.40335472099267
factor(Year)2022,-1.96827777846401,5.10041727434034,-11.964911942297,8.028356385369
factor(Year)2023,-1.54320464278619,5.09785990961428,-11.5348264638608,8.44841717828841
factor(Year)2024,-1.20712255534289,5.09350270978255,-11.1902044216739,8.77595931098809
Pass,0.0219798137161487,0.214602865313439,-0.398634073277291,0.442593700709589
factor(Year)2003,-2.7156620605526,4.92188548090378,-12.3623803391546,6.9310562180494
factor(Year)2004,-2.91738383610669,4.92658851194957,-12.5733198861766,6.73855221396324
factor(Year)2005,-2.55456907860419,4.91187914458768,-12.1816752984094,7.07253714120107
factor(Year)2006,-2.65060690681703,4.91823119709378,-12.2901629207622,6.9889491071281
factor(Year)2007,-3.28950288350211,4.92371981532686,-12.939816391509,6.36081062450474
factor(Year)2008,-2.68642198914928,4.91462021103673,-12.3189006004739,6.94605662217534
factor(Year)2009,-1.76293478614477,4.90462115532297,-11.375815608391,7.84994603610148
factor(Year)2010,-1.31939330522173,4.89561068710346,-10.9146139342739,8.27582732383043
factor(Year)2011,-1.53447199856771,4.91247765781013,-11.1627512827332,8.09380728559783
factor(Year)2012,-2.66074895553628,4.91692879780948,-12.2977523137907,6.97625440271813
factor(Year)2013,-1.55807954651146,4.90385961319677,-11.1694677736176,8.05330868059473
factor(Year)2014,-1.10153640212567,4.90616248872652,-10.717438182331,8.5143653780797
factor(Year)2015,-1.34460667563571,4.90829565213025,-10.9646893792855,8.27547602801411
factor(Year)2016,-1.25509482918153,4.9149942105536,-10.8883064660895,8.37811680772639
factor(Year)2017,-1.80391560706852,4.90886660530064,-11.4251173583692,7.81728614423213
factor(Year)2018,-3.1421305775374,4.91510465068213,-12.7755586731197,6.4912975180449
factor(Year)2019,-2.57604991250752,4.93130673270644,-12.241233505332,7.08913368031698
factor(Year)2021,-2.58601309969953,4.90492327892735,-12.1994860733293,7.02745987393018
factor(Year)2022,-2.88891064238072,4.9197503716656,-12.5314441837728,6.75362289901139
factor(Year)2023,-2.3867483218757,4.92020920398769,-12.0301811580941,7.25668451434267
factor(Year)2024,-2.83558684322788,4.91401852394333,-12.4668861695195,6.79571248306373
Pass,-0.202734500969744,0.239334432364615,-0.671821368664727,0.26635236672524
factor(Year)2003,-1.73288552029075,2.12625932678905,-5.90027722258966,2.43450618200816
factor(Year)2004,-0.437076823542645,2.138352186383,-4.6281700951158,3.75401644803051
factor(Year)2005,-1.03094599685178,2.11660184665832,-5.17940938591306,3.1175173922095
factor(Year)2006,-1.82728275919287,2.12675601256097,-5.99564794771638,2.34108242933064
factor(Year)2007,-1.71496729511865,2.10888321467877,-5.84830244349009,2.41836785325279
factor(Year)2008,-1.27578134476304,2.12655956140561,-5.44376149609733,2.89219880657124
factor(Year)2009,-1.59815998429349,2.11085898625413,-5.73536757379431,2.53904760520733
factor(Year)2010,-1.17018864312396,2.1135205190977,-5.31261274114186,2.97223545489394
factor(Year)2011,-0.916384741804981,2.12256524183077,-5.07653617062985,3.24376668701989
factor(Year)2012,-0.730249868771846,2.11196350686353,-4.86962227888728,3.40912254134359
factor(Year)2013,-0.540622348246027,2.11410754260542,-4.68419699119713,3.60295229470508
factor(Year)2014,-0.537933944156189,2.10398842776247,-4.66167548645969,3.58580759814731
factor(Year)2015,-0.673876474240955,2.11636814910091,-4.82188182450642,3.47412887602451
factor(Year)2016,-0.705387500009476,2.12681210550945,-4.87386262869179,3.46308762867284
factor(Year)2017,-1.0986329529932,2.12699728428719,-5.2674710254106,3.07020511942419
factor(Year)2018,-1.29432579909192,2.11874927405407,-5.44699806850829,2.85834647032445
factor(Year)2019,-0.89968401451956,2.15748484193762,-5.12827660190839,3.32890857286927
factor(Year)2021,-1.70752685364106,2.10737839817256,-5.83791261585698,2.42285890857485
factor(Year)2022,-0.825658928910097,2.11345748906792,-4.96795949033967,3.31664163251947
factor(Year)2023,-2.3328055685737,2.11932380552152,-6.48660389897424,1.82099276182683
factor(Year)2024,-0.758227000160878,2.12300949655161,-4.91924915223855,3.4027951519168
Pass,-0.3662390151499,0.208825704417528,-0.775529874854462,0.0430518445546615
factor(Year)2003,-1.85505421065413,1.13733717209158,-4.08419410623226,0.374085684924001
factor(Year)2004,-0.951731472816649,1.16120619772941,-3.22765379899099,1.32419085335769
factor(Year)2005,-1.1386351256931,1.10501717083884,-3.30442898283557,1.02715873144936
factor(Year)2006,-1.33032084264993,1.11279674596021,-3.51136238684531,0.850720701545446
factor(Year)2007,-1.42024716963083,1.08729777191109,-3.55131164304722,0.710817303785565
factor(Year)2008,-2.11761910016918,1.11021634540091,-4.29360315220264,0.0583649518642835
factor(Year)2009,-0.205420606987319,1.09721435215974,-2.35592122054085,1.94508000656621
factor(Year)2010,-0.581598419597325,1.11297297178305,-2.76298536005861,1.59978852086396
factor(Year)2011,-0.392954324493274,1.08336702252433,-2.51631467067936,1.73040602169281
factor(Year)2012,-0.752678094553115,1.08641407837629,-2.88201056046791,1.37665437136168
factor(Year)2013,-0.905366376725188,1.1577151484589,-3.17444637206107,1.3637136186107
factor(Year)2014,-0.341754419452136,1.10392828502595,-2.50541409961806,1.82190526071379
factor(Year)2015,-1.05067712071736,1.11348375923288,-3.23306518618408,1.13171094474936
factor(Year)2016,-0.662564998348098,1.07371769397966,-2.76701300811163,1.44188301141543
factor(Year)2017,-0.542320180066702,1.08141539217563,-2.6618554010582,1.57721504092479
factor(Year)2018,-0.494420993317212,1.10480652277508,-2.65980198784129,1.67096000120687
factor(Year)2019,-0.00176723129470491,1.18035974929455,-2.31522982871276,2.31169536612335
factor(Year)2021,-1.0000599118919,1.10678043507708,-3.16930970343654,1.16918987965275
factor(Year)2022,-0.922551496555051,1.09984062039464,-3.07819950126273,1.23309650815263
factor(Year)2023,-1.15540590303196,1.1000741127557,-3.311511544358,1.00069973829407
factor(Year)2024,-1.4869714411417,1.10375632906171,-3.65029409381078,0.676351211527381
Pass,-0.0318920670396479,0.204451958690162,-0.432610542641037,0.368826408561741
factor(Year)2003,-3.21200408500664,5.5883447802529,-14.1649585874947,7.74095041748144
factor(Year)2004,-2.47132368064955,5.59905580725767,-13.4452714103044,8.50262404900532
factor(Year)2005,-1.77785458028495,5.57443354487059,-12.7035435624432,9.14783440187334
factor(Year)2006,-3.00186721278701,5.58798374614752,-13.9541141014314,7.95037967585734
factor(Year)2007,-3.40804846806645,5.59195877531642,-14.3680862707194,7.55198933458644
factor(Year)2008,-2.94163716806481,5.5830950301115,-13.8843023493479,8.00102801321829
factor(Year)2009,-2.58086043022706,5.57934945221227,-13.5161844137264,8.35446355327226
factor(Year)2010,-2.38895001472688,5.58084712335844,-13.3272093797334,8.54930935027962
factor(Year)2011,-1.91895874944027,5.58316235564871,-12.8617558863515,9.023838387471
factor(Year)2012,-2.26703115620513,5.57955598424092,-13.2027599350423,8.66869762263201
factor(Year)2013,-2.61295935824655,5.59556128100478,-13.5800579423027,8.35413922580963
factor(Year)2014,-1.14025117695725,5.58531813065918,-12.0872735552478,9.80677120133332
factor(Year)2015,-1.67864147558912,5.58133239102675,-12.6178519477484,9.26056899657012
factor(Year)2016,-2.40419470898328,5.58614508493082,-13.3528378878631,8.54444846989657
factor(Year)2017,-2.01809464982519,5.57808001222068,-12.9509305766605,8.91474127701008
factor(Year)2018,-1.35376965274155,5.58232820930403,-12.2949318928594,9.58739258737632
factor(Year)2019,-2.0451913347724,5.60752987682804,-13.0357479355877,8.94536526604289
factor(Year)2021,-2.25109679444699,5.5764722485963,-13.1807815624828,8.67858797358885
factor(Year)2022,-2.5163133283758,5.57773998874573,-13.4484828214463,8.41585616469467
factor(Year)2023,-2.41626963732262,5.58564008013863,-13.3639230249978,8.53138375035251
factor(Year)2024,-1.77781167698016,5.58416258835008,-12.7225692339623,9.16694588000195
Pass,-0.219995318732368,0.208039407744283,-0.627745065276206,0.187754427811471
factor(Year)2003,-2.69278816402511,2.46270573535712,-7.51960270984528,2.13402638179507
factor(Year)2004,-2.4991669655951,2.49128375914005,-7.38199340877917,2.38365947758896
factor(Year)2005,-2.52836168284945,2.4603746182248,-7.35060732304654,2.29388395734765
factor(Year)2006,-1.53564356707656,2.45313677848921,-6.34370330206603,3.27241616791291
factor(Year)2007,-1.85709779358027,2.45209151052693,-6.66310884100947,2.94891325384892
factor(Year)2008,-1.97749091864372,2.46363575669925,-6.80612827279934,2.8511464355119
factor(Year)2009,-2.00271234538984,2.45023939461121,-6.80509331232905,2.79966862154936
factor(Year)2010,-1.51209064345236,2.44181611782715,-6.29796229126298,3.27378100435826
factor(Year)2011,-0.771899653890206,2.44722323092813,-5.56836904863908,4.02456974085867
