"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,511961.048101476,270538.458552026,968823.86399329,13.1460038232008,0.325431633068873,"index",0.1,1
2004,308375.159024991,158943.923803058,598294.268999662,12.6390723695186,0.338151943726675,"index",0.1,1
2005,334516.514922909,181296.172615753,617229.239545709,12.7204415292985,0.312533418159328,"index",0.1,1
2006,579513.247459946,333086.969881538,1008252.00127466,13.2699438016559,0.282548506169094,"index",0.1,1
2007,318952.014151574,180443.489376623,563779.761091926,12.6727959445947,0.290629327680441,"index",0.1,1
2008,289077.226443169,161052.591927259,518871.766347099,12.5744491509243,0.298455944588595,"index",0.1,1
2009,283848.694967716,162726.91245203,495124.502891473,12.5561966109759,0.28386639975544,"index",0.1,1
2010,370866.470225748,221285.956950995,621557.466333777,12.8235973582744,0.263467234800873,"index",0.1,1
2011,428767.736854331,250965.402133864,732538.312468764,12.9686706453631,0.273270468783537,"index",0.1,1
2012,444669.302147877,249268.857859081,793243.046768655,13.0050861436413,0.295310936748391,"index",0.1,1
2013,1038637.19899502,550334.302108958,1960203.51085192,13.8534200262299,0.324056378925241,"index",0.1,1
2014,965978.842461024,569969.296873094,1637132.2616876,13.7808972107405,0.269167924348013,"index",0.1,1
2015,925578.926133351,526777.269013265,1626297.10675803,13.7381746868122,0.287577523115397,"index",0.1,1
2016,998216.361072395,564472.604272681,1765251.13171173,13.8137253264588,0.290861567111424,"index",0.1,1
2017,1164893.91191506,679214.671970512,1997862.94674697,13.9681405781016,0.275233660806837,"index",0.1,1
2018,829766.723881938,442009.14833145,1557689.06290932,13.6288998847053,0.321339591566538,"index",0.1,1
2019,1038326.08539186,499427.949975023,2158711.90160485,13.8531204411503,0.373426157088147,"index",0.1,1
2021,1079381.43135053,612995.773561373,1900607.35260138,13.8918986862677,0.288671307491151,"index",0.1,1
2022,746996.66087101,416130.780159543,1340934.23980438,13.5238159940528,0.298506061053328,"index",0.1,1
2023,834031.260308409,473786.210814028,1468189.92890588,13.6340261630226,0.288533208053604,"index",0.1,1
2024,792928.420664825,459753.280643915,1367549.74193426,13.5834882325642,0.278088249942133,"index",0.1,1
2003,595968.629039552,277491.407722089,1279962.53907436,13.2979433088225,0.39000617681057,"index",0.1,10
2004,366094.871897816,169730.477141281,789636.943742976,12.8106477916292,0.392191269004238,"index",0.1,10
2005,462849.671247527,251062.885442376,853291.468376411,13.0451575962165,0.31209699499393,"index",0.1,10
2006,225696.037253049,107054.386500676,475820.775745684,12.3269444050664,0.380543796511369,"index",0.1,10
2007,261231.485320396,133952.83911235,509447.126129694,12.4731622101628,0.340781333416743,"index",0.1,10
2008,344589.053161155,181820.669486969,653069.950152241,12.7501078357727,0.326195630636606,"index",0.1,10
2009,365051.946374855,199886.379678769,666693.367333145,12.8077949412735,0.30729674806839,"index",0.1,10
2010,289612.116089695,149024.693592291,562827.379571207,12.5762977759448,0.339001370016166,"index",0.1,10
2011,435400.2689382,224463.234435399,844563.229556495,12.9840210454631,0.338043884668686,"index",0.1,10
2012,609966.911526972,312807.42508404,1189420.7212562,13.3211599912799,0.340729203033836,"index",0.1,10
2013,983761.992759321,513070.146225866,1886267.72677541,13.7991392695003,0.332134377237248,"index",0.1,10
2014,1350028.21137274,732411.539342318,2488459.11567544,14.1156360475094,0.312015019232745,"index",0.1,10
2015,1046954.22573222,571654.591633118,1917439.59870442,13.8613957694435,0.308732990520824,"index",0.1,10
2016,1882257.84452268,949911.925440495,3729708.51126461,14.4479825953343,0.348913577755621,"index",0.1,10
2017,1372042.04865252,774827.191006984,2429573.20692897,14.1318107345043,0.291543842073344,"index",0.1,10
2018,825691.551208743,435987.967957209,1563727.87288573,13.623976558076,0.325825697610408,"index",0.1,10
2019,662463.435348071,278439.157914347,1576135.36278604,13.4037206433919,0.442235571290736,"index",0.1,10
2021,625382.178620595,304155.445257256,1285865.09113932,13.3461182276302,0.367774127754784,"index",0.1,10
2022,1009887.70838611,514824.740077923,1981010.43744515,13.8253497028208,0.343765445149284,"index",0.1,10
2023,1023864.25961529,543986.663331146,1927065.6668276,13.8390945168254,0.322666391939681,"index",0.1,10
2024,833839.782235977,444877.371426241,1562877.38396381,13.6337965552551,0.32053782970874,"index",0.1,10
2003,404304.808604357,206234.805506532,792603.255590768,12.9099243492122,0.343452085502701,"index",0.1,2
2004,325153.282246314,165346.358809739,639413.275965795,12.6920519878067,0.345034039442462,"index",0.1,2
2005,438657.283532937,241304.02333817,797418.168725819,12.991473711848,0.30493457609142,"index",0.1,2
2006,347147.203271635,179510.553004025,671332.012088535,12.7575041858956,0.336493381922642,"index",0.1,2
2007,393740.086444361,219722.262717747,705578.277574742,12.8834462915209,0.297621135148955,"index",0.1,2
2008,439015.714294025,244887.984865061,787032.477331603,12.992290487075,0.297829098562473,"index",0.1,2
2009,217171.656492925,112306.898066121,419952.195243728,12.2884433635586,0.33646169244756,"index",0.1,2
2010,524903.368354645,294565.616842768,935355.419492561,13.1709694643557,0.294756640449154,"index",0.1,2
2011,815879.195405035,454581.14726671,1464334.50990482,13.6120215781398,0.298418677204975,"index",0.1,2
2012,743113.787104054,422182.65028678,1308007.56546727,13.518604457471,0.288480371051609,"index",0.1,2
2013,1277717.52878066,717902.707363906,2274071.49549278,14.0605858634965,0.294136287329439,"index",0.1,2
2014,914841.299580286,490545.332339666,1706131.01020852,13.726505886133,0.317981818370065,"index",0.1,2
2015,1731911.93791746,989902.50371075,3030115.54113362,14.3647365226534,0.28540054353281,"index",0.1,2
2016,962812.341845029,536076.798754802,1729244.0332474,13.7776138035096,0.298771353494482,"index",0.1,2
2017,1156609.81229307,657433.719738866,2034800.19008451,13.9610037084097,0.288221866010652,"index",0.1,2
2018,840262.752667085,473239.015254613,1491934.24624933,13.6414699227017,0.292920721871979,"index",0.1,2
2019,676214.831315519,337440.602094779,1355102.18762187,13.4242661023421,0.354660252847694,"index",0.1,2
2021,1172692.47552786,619562.647849244,2219642.59293805,13.9748129240628,0.325538544425035,"index",0.1,2
