"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,2520166.89476732,1527346.02836914,4158351.19187944,14.7398356853769,0.255511593140575,"index",0.1,1
2004,2034785.22545547,1192825.59830812,3471044.6519629,14.5259008309723,0.272487317264515,"index",0.1,1
2005,1942892.44949262,1241001.42317098,3041762.08005472,14.4796883740188,0.228707857172294,"index",0.1,1
2006,1510894.83993163,937723.149134881,2434410.64608258,14.2282126424938,0.243373149715729,"index",0.1,1
2007,1642275.17655362,1054938.97377862,2556610.21401435,14.3115931411616,0.225820303940842,"index",0.1,1
2008,917388.801856095,550728.257330485,1528162.39691497,13.7292866546788,0.260356758139941,"index",0.1,1
2009,908702.733315964,574006.457671897,1438556.38991417,13.7197732936199,0.234380515002065,"index",0.1,1
2010,917748.87761899,580361.855765483,1451272.15719577,13.729679078388,0.233816541919831,"index",0.1,1
2011,1321562.25435731,824157.935009428,2119165.17205164,14.094325120776,0.240926703385595,"index",0.1,1
2012,1274063.58303169,802810.298999712,2021944.68061767,14.057722022057,0.235641216384236,"index",0.1,1
2013,1510970.25376841,938864.114113774,2431694.93162277,14.2282625546074,0.242778195949597,"index",0.1,1
2014,1715072.35440353,1118427.25475338,2630008.49481971,14.3549658268488,0.218132481332158,"index",0.1,1
2015,1983758.31950899,1227317.14447356,3206422.30734022,14.5005037446433,0.244985411304559,"index",0.1,1
2016,2871678.40704784,1785415.9001098,4618832.43730366,14.8704072276187,0.242476539390884,"index",0.1,1
2017,1746719.50806733,1101514.25580335,2769849.79884604,14.3732500198818,0.235235767700299,"index",0.1,1
2018,2225729.8810276,1377875.06562094,3595299.4773635,14.6155954562072,0.244668982236109,"index",0.1,1
2019,1685550.45025304,890543.322400817,3190277.49564047,14.3376027451294,0.325524203561821,"index",0.1,1
2021,1613435.68920944,1027298.43464883,2534000.47679875,14.2938764317371,0.230327393690634,"index",0.1,1
2022,2276630.64344945,1438611.68962188,3602811.7414056,14.6382071199643,0.234197169697821,"index",0.1,1
2023,2063256.49975857,1290970.89363873,3297539.39827191,14.5397961177025,0.239234494827455,"index",0.1,1
2024,1118273.00983567,699530.405821371,1787677.15330199,13.9272960977305,0.239357233781757,"index",0.1,1
2003,1927051.20527003,1178796.24144583,3150269.92551141,14.4715015195759,0.250768474354674,"index",0.1,10
2004,1463154.63965797,864981.725419129,2474990.43811049,14.1961053747978,0.268189476917025,"index",0.1,10
2005,1628526.06417423,1068454.320011,2482181.12091821,14.3031859085898,0.215035740757143,"index",0.1,10
2006,1282759.77631548,823511.346214814,1998117.7567209,14.0645243901476,0.226122411993226,"index",0.1,10
2007,2032510.98057553,1306613.35953153,3161685.78564149,14.5247825228867,0.225429344815704,"index",0.1,10
2008,1023389.94384877,630257.093340566,1661745.64036973,13.8386311490871,0.247324977968659,"index",0.1,10
2009,900335.983126428,573568.97087304,1413264.87951117,13.7105232872268,0.230050051627816,"index",0.1,10
2010,1126430.14512297,707314.159003286,1793891.52004217,13.9345640263884,0.237419579569205,"index",0.1,10
2011,1214291.45691067,764604.076999608,1928453.93672547,14.0096713016146,0.2360032494646,"index",0.1,10
2012,1522871.93390348,965847.73322279,2401143.41764054,14.2361085402941,0.232324200433686,"index",0.1,10
2013,1572609.72652709,980955.164968054,2521115.58232954,14.2682470435179,0.240802898999241,"index",0.1,10
2014,1517706.81834453,950106.194382164,2424396.34650245,14.232711081489,0.238974820095635,"index",0.1,10
2015,1661516.99587983,1090159.26296478,2532326.07508166,14.323241595963,0.215007644499283,"index",0.1,10
2016,2068591.40586058,1266146.85496696,3379600.38964985,14.5423784533492,0.250458469175135,"index",0.1,10
2017,2570705.49038469,1664179.37511672,3971042.3149731,14.7596909290778,0.221865422226194,"index",0.1,10
