"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,3513600.7159522,2021877.15119054,6105905.09115279,15.0721519146233,0.28195160643418,"index",0.1,1
2004,3468462.03900852,1841188.04424264,6533949.07362201,15.0592218372496,0.323118304622001,"index",0.1,1
2005,2613353.39956032,1534155.37293938,4451710.76636664,14.7761447820322,0.271767361192881,"index",0.1,1
2006,3010814.76029101,1739298.71689877,5211873.86198354,14.9177212845787,0.279968782703302,"index",0.1,1
2007,2171256.22977617,1232629.31154949,3824632.08619922,14.5908164657452,0.28886059780821,"index",0.1,1
2008,2378024.63699593,1389160.02110166,4070806.16218353,14.6817807165644,0.274275904928435,"index",0.1,1
2009,1110898.1399254,636495.724826161,1938889.18519722,13.9206793811831,0.28416154853367,"index",0.1,1
2010,1434134.77771672,835825.087797909,2460733.22119983,14.1760722829753,0.275463040229251,"index",0.1,1
2011,1888618.8091928,1140778.40053695,3126708.04843248,14.4513563310927,0.257216428575702,"index",0.1,1
2012,1720479.98827539,1019242.31517429,2904168.46513083,14.3581138728096,0.267119087887807,"index",0.1,1
2013,2106969.0376572,1170829.45496131,3791601.33598862,14.5607609976889,0.299769797231652,"index",0.1,1
2014,2078651.31014063,1214962.87182819,3556315.48036339,14.5472298327835,0.273987563493799,"index",0.1,1
2015,2437117.11950322,1432718.65715818,4145642.84795235,14.7063263903377,0.271046834715019,"index",0.1,1
2016,2299477.96070818,1390408.50679628,3802910.34320994,14.6481926815318,0.256680497085085,"index",0.1,1
2017,2718995.58709576,1575671.82085493,4691926.90051091,14.8157731006253,0.27836267028936,"index",0.1,1
2018,2906682.9572764,1727220.56882839,4891561.60284272,14.8825231117689,0.265565617017575,"index",0.1,1
2019,1439340.64286295,693215.043842229,2988540.86419485,14.1796956797892,0.37276202366022,"index",0.1,1
2021,3832832.80295673,2360279.11214499,6224097.48907644,15.1591147229982,0.24736387451796,"index",0.1,1
2022,5639886.55669444,3360445.18346323,9465507.88238164,15.5453745092107,0.264183676360339,"index",0.1,1
2023,4733824.99376802,2842524.27795247,7883520.73030124,15.3702441004319,0.260229809745687,"index",0.1,1
2024,4642118.85420262,2766931.93735373,7788145.11684483,15.3506814695824,0.264000672048133,"index",0.1,1
2003,2671086.24662002,1634978.31350696,4363789.83007977,14.797995781582,0.250441175010575,"index",0.1,10
2004,1646611.52208097,921960.493099555,2940830.46393296,14.3142301113204,0.295909753142057,"index",0.1,10
2005,2637022.55198333,1652900.45663995,4207082.10935138,14.7851610174351,0.238330329510317,"index",0.1,10
2006,1943040.13689703,1174014.23725612,3215808.50877639,14.4797643853243,0.257058284165981,"index",0.1,10
2007,2612586.52044935,1585622.8214474,4304685.97860055,14.7758512925822,0.25478195575312,"index",0.1,10
2008,1383581.45326268,800592.558002292,2391100.96475188,14.1401859512594,0.279126823555291,"index",0.1,10
2009,1180856.41368331,719663.743365773,1937601.94617487,13.9817505075029,0.252663392087407,"index",0.1,10
2010,1451571.12125573,889560.889274988,2368650.35937105,14.1881570597003,0.249838173785274,"index",0.1,10
2011,1346345.08907649,824676.491091891,2198007.4834926,14.1129041375129,0.250085044917175,"index",0.1,10
2012,1747438.74476425,1048177.11140611,2913192.9456149,14.3736616994081,0.260769368428148,"index",0.1,10
