term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-7.48401051007462,1.21555976166488,-9.86646386399388,-5.10155715615537
factor(Year)2004,-4.81584015509208,1.11219342641481,-6.9956992147073,-2.63598109547687
factor(Year)2005,-5.18688688550852,1.0368901202618,-7.21915417714704,-3.15461959386999
factor(Year)2006,-5.83440907892891,1.10244587337262,-7.99516328564405,-3.67365487221378
factor(Year)2007,-5.42146067072632,1.07138133433459,-7.52132949973058,-3.32159184172206
factor(Year)2008,-5.8793206788056,1.1764677909916,-8.18515517812053,-3.57348617949068
factor(Year)2009,-5.65781235931615,1.09537144137225,-7.80470093409948,-3.51092378453283
factor(Year)2010,-5.32389682943394,1.04421419411654,-7.37051904204787,-3.27727461682
factor(Year)2011,-5.21696039206023,1.0666734449254,-7.30760192737928,-3.12631885674118
factor(Year)2012,-5.93918824985003,1.11226673445853,-8.11919099059073,-3.75918550910934
factor(Year)2013,-5.03687786026659,1.07276234611446,-7.13945342262163,-2.93430229791156
factor(Year)2014,-5.82784709295267,1.07405658913308,-7.93295932501144,-3.72273486089389
factor(Year)2015,-5.0934367772484,1.06947973262136,-7.1895785353818,-2.997295019115
factor(Year)2016,-5.42805387699216,1.08678410857918,-7.55811158877782,-3.2979961652065
factor(Year)2017,-5.8891063367979,1.10450827459,-8.05390277562078,-3.72430989797502
factor(Year)2018,-5.42075299379256,1.11790887442559,-7.61181412566443,-3.2296918619207
factor(Year)2019,-5.69445813935801,1.20953332309904,-8.06509989073317,-3.32381638798284
factor(Year)2021,-4.94822594876161,1.08277431840476,-7.07042461621984,-2.82602728130338
factor(Year)2022,-5.75437205333187,1.11063155965996,-7.93116991035893,-3.5775741963048
factor(Year)2023,-5.63019735907942,1.1134751781901,-7.81256860601134,-3.4478261121475
factor(Year)2024,-5.32624765746576,1.04366754952655,-7.37179846637097,-3.28069684856054
Pass,0.0746861885835214,0.255723083789363,-0.426521845659149,0.575894222826192
Depth_m,0.0121160099730942,0.00138588825405029,0.00939971890855855,0.0148323010376299
factor(Year)2003,-6.02440124904882,1.01260457088886,-8.00906973857162,-4.03973275952602
factor(Year)2004,-3.96512937528894,0.954785079570472,-5.83647374422327,-2.0937850063546
factor(Year)2005,-5.17873739989679,0.921254164080353,-6.98436238210183,-3.37311241769174
factor(Year)2006,-4.24735094981893,0.882501453726885,-5.97702201542787,-2.51767988421
factor(Year)2007,-4.28223367886387,0.893420945234449,-6.03330655455712,-2.53116080317062
factor(Year)2008,-5.34411235486262,0.937904337292798,-7.18237107690041,-3.50585363282482
factor(Year)2009,-4.55457332877793,0.906662345716349,-6.33159887252058,-2.77754778503528
factor(Year)2010,-4.64773005051465,0.92024533880725,-6.45137777151772,-2.84408232951158
factor(Year)2011,-5.03501164152343,0.936072245852593,-6.86967953032204,-3.20034375272483
factor(Year)2012,-4.6028663233817,0.897284618612054,-6.36151185974308,-2.84422078702031
factor(Year)2013,-5.23252511279144,0.957023333817018,-7.10825637943725,-3.35679384614563
factor(Year)2014,-4.80198940486257,0.916690280341249,-6.59866933930934,-3.00530947041579
