term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-12.8586987312977,4.43713294142364,-21.5553194911043,-4.16207797149108
factor(Year)2004,-11.8504630483784,3.53669482010245,-18.7822575200886,-4.91866857666827
factor(Year)2005,-13.3414325214797,4.31272660165132,-21.7942213358841,-4.88864370707527
factor(Year)2006,-12.6329609432814,4.38200316489468,-21.2215293266155,-4.04439255994727
factor(Year)2007,-12.7551733241566,3.52002616983525,-19.6542978416721,-5.85604880664101
factor(Year)2008,-18.8059831809549,8.97995985268799,-36.406381074839,-1.20558528707083
factor(Year)2009,-12.8144604882336,3.63561470107783,-19.9401343640105,-5.68878661245673
factor(Year)2010,-12.5381563608476,3.72563859584776,-19.8402738281216,-5.23603889357359
factor(Year)2011,-11.8449289346727,3.10073777468711,-17.9222632985623,-5.76759457078304
factor(Year)2012,-11.663158711898,3.27070094267294,-18.0736147637381,-5.25270266005781
factor(Year)2013,-12.0700921469927,3.75137194443569,-19.4226460507007,-4.71753824328479
factor(Year)2014,-11.91267378359,3.14743284184601,-18.0815287973667,-5.74381876981327
factor(Year)2015,-12.5693885214499,3.55817918557676,-19.5432915757204,-5.59548546717937
factor(Year)2016,-11.8360391147832,3.13131878853157,-17.9733111644187,-5.69876706514772
factor(Year)2017,-12.190164595446,2.96121280945076,-17.9940350525282,-6.38629413836386
factor(Year)2018,-11.8622254817618,3.04311476945929,-17.8266208307239,-5.8978301327997
factor(Year)2019,-12.1698267475017,3.77993068582345,-19.5783547557734,-4.76129873922993
factor(Year)2021,-12.6681029831586,3.70966080870977,-19.9389045630895,-5.39730140322774
factor(Year)2022,-12.5458792114002,3.97924370442376,-20.3450535577786,-4.74670486502192
factor(Year)2023,-11.4707385879733,2.86486448975689,-17.0857698084845,-5.85570736746205
factor(Year)2024,-12.0827010069148,3.67477810374297,-19.2851337414274,-4.88026827240219
Pass,-1.58123644856792,1.50672911993457,-4.53437125809742,1.37189836096157
factor(Year)2003,-3.02191741565508,0.90926478697592,-4.80404365053837,-1.23979118077179
factor(Year)2004,-3.14893217423624,0.969646175302204,-5.04940375557557,-1.24846059289691
factor(Year)2005,-3.32852603942196,0.907343488798423,-5.10688659907379,-1.55016547977013
factor(Year)2006,-2.57366777269157,0.844181899458011,-4.22823389202989,-0.919101653353258
factor(Year)2007,-3.10693689237483,0.874286844844191,-4.8205076204266,-1.39336616432306
factor(Year)2008,-3.00715981112653,0.865796655146433,-4.70409007314878,-1.31022954910427
factor(Year)2009,-3.42877994414767,0.915368674248492,-5.22286957825089,-1.63469031004445
factor(Year)2010,-2.44840638297977,0.842209772141472,-4.09910720380474,-0.797705562154795
factor(Year)2011,-3.31689911732761,0.90656548158068,-5.09373481085296,-1.54006342380227
factor(Year)2012,-3.31296009513183,0.899142270027555,-5.07524656136343,-1.55067362890024
factor(Year)2013,-3.29459073015084,0.956956482371059,-5.17019097037026,-1.41899048993143
factor(Year)2014,-3.08881135059897,0.87932940459388,-4.81226531415002,-1.36535738704792
factor(Year)2015,-2.60183480973544,0.837856455455151,-4.24400328664192,-0.959666332828953
factor(Year)2016,-2.60136289397844,0.833744640099502,-4.23547236087677,-0.967253427080107
factor(Year)2017,-3.45377430325975,0.942985692390394,-5.30199229828149,-1.60555630823801
factor(Year)2018,-2.48630540324268,0.827945334463336,-4.10904843995878,-0.863562366526568
factor(Year)2019,-2.42670791874518,0.961578463740505,-4.31136707598592,-0.542048761504433
factor(Year)2021,-3.05244260641132,0.865635496400406,-4.74905700309557,-1.35582820972707
factor(Year)2022,-3.90745348353596,1.03100830339709,-5.928192625956,-1.88671434111592
factor(Year)2023,-2.54416734317982,0.850138950690772,-4.21040906838841,-0.877925617971238
factor(Year)2024,-3.28295828221699,0.918245040759711,-5.08268549108853,-1.48323107334544
Pass,-0.598799741847869,0.210484227194692,-1.01134124646321,-0.186258237232527
factor(Year)2003,-5.52390599326383,1.14827924462258,-7.77449195691894,-3.27332002960873
factor(Year)2004,-4.08390910550368,0.917140399625359,-5.88147125753606,-2.28634695347131
factor(Year)2005,-4.51530304388273,0.813441411486508,-6.10961891392971,-2.92098717383575
