term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-3.70999323251672,1.15041572443617,-5.96476661966017,-1.45521984537328
factor(Year)2004,-3.21389622050797,1.13564275515535,-5.43971511991629,-0.988077321099642
factor(Year)2005,-3.0683035004649,1.09830931064554,-5.22095019321517,-0.915656807714633
factor(Year)2006,-3.34150095926733,1.10244142830831,-5.5022464538165,-1.18075546471815
factor(Year)2007,-3.63896942133522,1.06940230603619,-5.73495942615022,-1.54297941652021
factor(Year)2008,-3.32471608025643,1.10337261547105,-5.48728666810745,-1.16214549240541
factor(Year)2009,-3.50065673748728,1.10371870022775,-5.66390563899704,-1.33740783597752
factor(Year)2010,-2.81495367625925,1.05364080957243,-4.88005171566283,-0.749855636855661
factor(Year)2011,-4.553502751992,1.17168983028469,-6.84997262040185,-2.25703288358215
factor(Year)2012,-3.37189435052829,1.10358440573489,-5.53488003966872,-1.20890866138786
factor(Year)2013,-4.34224430585555,1.21091824845417,-6.71560046104805,-1.96888815066306
factor(Year)2014,-4.8658874505245,1.23734105840082,-7.29103136158278,-2.44074353946622
factor(Year)2015,-3.42239204184269,1.10174399710247,-5.58177059634673,-1.26301348733865
factor(Year)2016,-2.56614344196909,1.04727417623634,-4.61876310933118,-0.513523774607013
factor(Year)2017,-3.01984830685697,1.07346351853427,-5.12379814190177,-0.915898471812163
factor(Year)2018,-2.57094440763281,1.08205517966167,-4.6917335890547,-0.450155226210923
factor(Year)2019,-3.07220147349965,1.15570058018033,-5.33733298756515,-0.807069959434159
factor(Year)2021,-3.50190993458327,1.11648736745896,-5.69018496399676,-1.31363490516977
factor(Year)2022,-3.33859151170144,1.09134828605048,-5.47759484694991,-1.19958817645298
factor(Year)2023,-3.3783241739456,1.06919570341941,-5.47390924507261,-1.28273910281858
factor(Year)2024,-3.38194880098338,1.12661372420151,-5.59007112490688,-1.17382647705988
Pass,-0.26953305322535,0.257079592556468,-0.77339979579626,0.234333689345559
factor(Year)2003,-2.67176473608229,0.858858867586765,-4.3550971843552,-0.988432287809371
factor(Year)2004,-3.10028410955686,0.908714703402315,-4.88133220044739,-1.31923601866632
factor(Year)2005,-2.09815960106158,0.688447734623045,-3.44749236616093,-0.748826835962219
factor(Year)2006,-3.48202295556228,0.958673156836052,-5.36098781590626,-1.6030580952183
factor(Year)2007,-2.48073804706403,0.773103000728853,-3.99599208483242,-0.965484009295633
factor(Year)2008,-2.6551562190367,0.822197087615107,-4.26663289895603,-1.04367953911737
factor(Year)2009,-2.28570825279634,0.749437546700907,-3.75457885299217,-0.816837652600509
factor(Year)2010,-3.96182430087011,0.978715729541494,-5.88007188187429,-2.04357671986594
factor(Year)2011,-3.34928895515746,0.872443483063147,-5.0592467605079,-1.63933114980701
factor(Year)2012,-2.7661777267846,0.800517389732336,-4.33516297965799,-1.1971924739112
factor(Year)2013,-1.63261480267756,0.710080695598811,-3.02434739216838,-0.240882213186746
factor(Year)2014,-2.71896016352395,0.770879210991887,-4.2298556534987,-1.2080646735492
factor(Year)2015,-1.99334384292785,0.694261912125485,-3.35407218653172,-0.632615499323992
factor(Year)2016,-1.06643083731622,0.711844250872439,-2.46161993162809,0.328758256995655
factor(Year)2017,-2.58364502913812,0.767093691431726,-4.08712103711218,-1.08016902116405
factor(Year)2018,-1.87416596074055,0.755614598879442,-3.35514336073693,-0.393188560744162
factor(Year)2019,-1.26066315675329,0.809063281456096,-2.84639804962103,0.325071736114452
factor(Year)2021,-4.31437124051521,1.24909284062521,-6.76254822148744,-1.86619425954297
factor(Year)2022,-4.40830361553661,1.23375924583524,-6.82642730296698,-1.99017992810624
factor(Year)2023,-3.01878260136897,0.757281431514148,-4.50302693329764,-1.53453826944031
factor(Year)2024,-2.60682654769474,0.767452429155944,-4.11100566868817,-1.10264742670131
Pass,-0.395341069781247,0.264141246893991,-0.913048400524971,0.122366260962478
factor(Year)2003,-2.67005350187112,1.12056279751759,-4.86631622742104,-0.473790776321189
factor(Year)2004,-3.11568483121477,1.16617005976582,-5.40133614820471,-0.83003351422484
factor(Year)2005,-2.40207642612075,1.08687681457927,-4.53231583832774,-0.27183701391376
factor(Year)2006,-3.3042061042625,1.16038442720301,-5.57851778980155,-1.02989441872346
factor(Year)2007,-2.79252165266557,1.08921486327159,-4.92734355610361,-0.657699749227542
factor(Year)2008,-3.23145867035403,1.12794718503441,-5.44219452948481,-1.02072281122326
factor(Year)2009,-3.75601456353509,1.1341740200238,-5.97895479498274,-1.53307433208743
factor(Year)2010,-2.8283034269188,1.08828173950848,-4.96129644138801,-0.695310412449582
factor(Year)2011,-3.47557583499784,1.10490458385546,-5.64114902570775,-1.31000264428793
factor(Year)2012,-2.90968639582477,1.1061272064428,-5.07765588277256,-0.741716908876987
factor(Year)2013,-3.66956413521435,1.18042808818216,-5.98316067439086,-1.35596759603784
factor(Year)2014,-2.87830169541044,1.0970639765492,-5.02850757818316,-0.728095812637727
factor(Year)2015,-2.91291067081218,1.10947283003994,-5.08743745951619,-0.738383882108164
factor(Year)2016,-2.1222618018026,1.0814200950668,-4.2418062402914,-0.00271736331379957
factor(Year)2017,-2.66162845673744,1.09136652071304,-4.80066753126779,-0.522589382207085
factor(Year)2018,-2.35384858871861,1.08732089385647,-4.48495838031519,-0.222738797122041
factor(Year)2019,-2.58804675599731,1.12442388777406,-4.79187707939099,-0.384216432603638
factor(Year)2021,-3.00709696912979,1.10757088867917,-5.17789602126598,-0.836297916993606
factor(Year)2022,-3.20363652890451,1.13149712468216,-5.42133014189217,-0.985942915916847
factor(Year)2023,-2.40794948690646,1.08473456803887,-4.53399017304827,-0.281908800764662
