"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,2987421.01592,449252.383501145,19865636.0080006,14.9099210366866,0.966640683955106,"index",0.1,1
2004,287017.778294106,50587.2586448785,1628457.58524266,12.5672994380989,0.885651182195653,"index",0.1,1
2005,3258295.7998471,730347.131196425,14536226.7691937,14.9967148558727,0.762993425074115,"index",0.1,1
2006,240684.159810263,51785.975526837,1118620.71138453,12.3912408127576,0.7838746915817,"index",0.1,1
2007,434354.541853747,92579.448469977,2037859.06210233,12.9816163963014,0.788684869345229,"index",0.1,1
2008,273656.323885014,51726.6783712244,1447759.37601901,12.5196283056967,0.849964269129535,"index",0.1,1
2009,2819091.14299033,541703.044158099,14670906.796985,14.8519251012481,0.841572535510942,"index",0.1,1
2010,1563509.97313891,457336.928243487,5345213.31022574,14.2624438345862,0.627189165271832,"index",0.1,1
2011,103813.870728303,16133.2205608045,668020.356814321,11.5503548701534,0.949874115473037,"index",0.1,1
2012,9434103.299938,1654284.02829989,53801102.8041953,16.059841692516,0.888262664190587,"index",0.1,1
2013,283536.166733974,40882.7978715542,1966420.15790539,12.5550949662672,0.988094841498353,"index",0.1,1
2014,103004014.358639,8394556.18895698,1263893734.84115,18.4502785197901,1.27919929069416,"index",0.1,1
2015,589639.929495436,125671.737383994,2766534.89235253,13.287267340589,0.788707764682733,"index",0.1,1
2016,1627984.81118544,451625.08643256,5868439.60858288,14.3028534957624,0.654219080577725,"index",0.1,1
2017,2807020.30427419,737245.005184168,10687577.3090375,14.8476340887607,0.682134236945247,"index",0.1,1
2018,1505053.05770361,398670.876934179,5681841.43251824,14.2243387098318,0.677791650596597,"index",0.1,1
2019,1102331.37700405,187936.399085372,6465668.54872882,13.9129379285776,0.90260793601029,"index",0.1,1
2021,2539819.84505264,274088.39540796,23535052.7545022,14.7476037093346,1.13593810017722,"index",0.1,1
2022,1458469.07256456,279968.39532874,7597757.71522222,14.1928978631042,0.842089892553201,"index",0.1,1
2023,559667.615061558,136012.860171514,2302928.11248663,13.2350983419611,0.721744701834788,"index",0.1,1
2024,7919494.01062616,1674148.55968919,37462855.3848216,15.8848378742025,0.792883244300648,"index",0.1,1
2003,5331004.04844271,755483.421802794,37617773.3942797,15.4890501552199,0.996924970827613,"index",0.1,10
2004,292255.140152703,24542.4960879971,3480211.08527134,12.5853824673839,1.26391150998404,"index",0.1,10
2005,2611735.18361935,558774.117151647,12207366.9126374,14.7755253797132,0.786761800324154,"index",0.1,10
2006,667950.684602412,53839.3776535147,8286836.44770373,13.4119696243481,1.28482423102869,"index",0.1,10
2007,267603.164448526,48346.1118840468,1481224.67003381,12.4972604324597,0.873036119213211,"index",0.1,10
2008,3290090.73744022,498889.404751509,21697588.5987828,15.0064257021303,0.962408493525561,"index",0.1,10
2009,249013.087293307,41678.3628149435,1487762.79717763,12.4252607334765,0.912018461457608,"index",0.1,10
2010,1085765.21477144,63809.7564478647,18475013.3401758,13.8977955634432,1.44601339911178,"index",0.1,10
2011,1861380.84140026,217325.724060758,15942607.1244253,14.4368291581054,1.09577351186484,"index",0.1,10
2012,2075877.04769216,209295.534743196,20589381.0511656,14.5458942959322,1.17062953200433,"index",0.1,10
2013,7410452.34308149,1810534.12182271,30330720.2372955,15.8184020403594,0.719028307068791,"index",0.1,10
2014,3386046.04538146,461701.483390875,24832729.011912,15.0351734403369,1.01660011850957,"index",0.1,10
2015,510025.536792498,117434.103794846,2215080.9668962,13.1422160755891,0.749291033249425,"index",0.1,10
2016,31051067.4970007,6221541.3120217,154972657.794663,17.2511437456884,0.820227067941294,"index",0.1,10
2017,576669.574387581,97067.7915840035,3425933.49037475,13.2650247200837,0.909128860758925,"index",0.1,10
2018,1915733.75704553,369364.390076152,9936084.59962026,14.4656112701568,0.839848252519397,"index",0.1,10
2019,54284207.3861762,7807379.13646051,377434619.228867,17.8097439025684,0.989387575631633,"index",0.1,10
2021,770941.426992005,26949.0224990797,22054628.6557432,13.5553676794806,1.71108520419798,"index",0.1,10
2022,10476.3715087809,327.092538529126,335545.28783671,9.2568776678454,1.76872359486374,"index",0.1,10
2023,937407.816589887,178334.514500814,4927444.45495326,13.7508737030213,0.846677467317636,"index",0.1,10
2024,843898.495839731,109251.62160682,6518573.00428484,13.6457875007529,1.04306944461631,"index",0.1,10
2003,2124088.91156522,382413.21257504,11798111.4560706,14.5688535209034,0.874810212408243,"index",0.2,5
2004,969848.62280738,117553.68836162,8001504.37022329,13.7848952793396,1.0766753193167,"index",0.2,5
2005,1318835.76091286,304384.433501761,5714246.7643719,14.0922599060639,0.748081675105352,"index",0.2,5
2006,239107.815323899,26123.288913934,2188566.20762145,12.3846698393359,1.12965715992515,"index",0.2,5
